Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
60	-126868.6	-127816.5	947.9754	0.007773638	0.1259066	0.8663198	1.525321	0.4375049	75.27158
61	-126882.9	-127831.7	948.8718	0.009011118	0.08015478	0.9108341	1.493071	0.4282547	79.63387
62	-126914	-127863	948.9438	0.007535779	0.07190405	0.9205602	1.485883	0.4334516	67.64265
63	-126884	-127832.8	948.8527	0.003383309	0.116195	0.8804217	1.368187	0.4334516	53.63182
64	-126867.5	-127817.1	949.584	0.002042019	0.0919371	0.9060209	1.232546	0.4381657	107.7185
65	-126855.2	-127801.5	946.2675	0.02923146	0.0602249	0.9105436	1.33099	0.4365357	95.74844
66	-126852.5	-127801.4	948.9398	0.004416228	0.1100007	0.8855831	1.286417	0.4350545	76.98381
67	-126872.5	-127821.6	949.0518	0.003442976	0.06063224	0.9359248	1.470432	0.4363678	57.61446
68	-126878	-127826.4	948.3423	0.005086158	0.1245396	0.8703742	1.51313	0.4309386	53.02022
69	-126877.3	-127825.6	948.2715	0.001238271	0.04535028	0.9534114	1.342707	0.4362418	51.00932
70	-126907.5	-127855.4	947.915	0.01595776	0.06641686	0.9176254	1.288887	0.4353553	67.14661
71	-126920.9	-127870.2	949.3784	0.003367391	0.07103892	0.9255937	1.33465	0.4359147	51.14336
72	-126900.5	-127849.4	948.9029	0.008763841	0.08291829	0.9083179	1.496303	0.4359147	57.20133
73	-126889.9	-127839.5	949.6436	0.001882922	0.08013165	0.9179854	1.425841	0.4387043	74.45718
74	-126908.7	-127855.9	947.1304	0.01655897	0.122092	0.8613491	1.384795	0.4260752	95.5162
75	-126884.4	-127834.1	949.6467	0.001267537	0.07347292	0.9252595	1.384533	0.4304528	117.9058
76	-126895	-127838.6	943.5335	0.05306607	0.1043987	0.8425352	1.369378	0.4348787	81.64362
77	-126879.8	-127826.9	947.144	0.01832933	0.1166121	0.8650586	1.389303	0.4268402	91.61604
78	-126873.9	-127821	947.0871	0.02480923	0.09013339	0.8850574	1.2169	0.4301254	42.71346
79	-126869.9	-127817.6	947.7869	0.01288657	0.05533281	0.9317806	1.565743	0.4320776	105.3295
80	-126855.4	-127804	948.5674	0.01112225	0.09318544	0.8956923	1.769229	0.4341711	118.1434
81	-126859.4	-127807.1	947.6909	0.01969495	0.08645409	0.893851	1.439491	0.4259337	97.5226
82	-126848.5	-127795.1	946.6103	0.02074226	0.1229984	0.8562594	1.404398	0.4155499	103.4215
83	-126906.8	-127856.5	949.6911	0.00150568	0.08181535	0.916679	1.39994	0.4214924	53.08347
84	-126911.4	-127861.2	949.7878	1.601488e-05	0.0934189	0.9065651	1.223418	0.4242226	63.52798
85	-126939.8	-127886.7	946.9246	0.01852885	0.1215395	0.8599316	1.492662	0.4197756	99.84184
86	-126905.3	-127854.9	949.6153	0.001248965	0.07160283	0.9271482	1.480594	0.4163818	59.16874
87	-126893.4	-127842.9	949.4442	0.003061125	0.09405132	0.9028876	1.310404	0.4150626	72.99629
88	-126851.7	-127801.3	949.5994	0.000665215	0.100269	0.8990657	1.305904	0.4136374	133.896
89	-126849.6	-127798.8	949.2192	0.005144883	0.07278966	0.9220655	1.334723	0.4156226	92.14552
90	-126835.1	-127784.6	949.5201	0.003069792	0.08170194	0.9152283	1.311968	0.4085369	60.18903
91	-126874.3	-127823.6	949.3698	0.003617633	0.09476878	0.9016136	1.413615	0.4062321	54.13419
92	-126890.5	-127837.6	947.137	0.02400175	0.07057428	0.905424	1.422241	0.4087111	74.65065
93	-126909.3	-127855.1	945.8325	0.02976378	0.05284487	0.9173913	1.390309	0.4051126	52.97082
94	-126898.1	-127845.6	947.5435	0.01874264	0.1021326	0.8791247	1.33034	0.4102082	85.66607
95	-126954.6	-127903	948.4204	0.006546267	0.05467425	0.9387795	1.416363	0.4034933	85.78045
96	-126912.9	-127861.1	948.2614	0.01461262	0.08339181	0.9019956	1.510268	0.4019508	148.0791
97	-126887.1	-127836.1	948.9172	0.004939147	0.1087149	0.8863459	1.266062	0.4022319	79.85964
98	-126867.1	-127815.6	948.5156	0.008851714	0.1074304	0.8837179	1.481962	0.4074308	59.90869
99	-126903.7	-127852.6	948.9029	0.008561667	0.07719659	0.9142417	1.476179	0.4058409	93.40495
100	-126901.8	-127850	948.143	0.009696453	0.1161524	0.8741511	1.215257	0.4079257	57.94304
101	-126907.1	-127854.7	947.6449	0.01958773	0.07211142	0.9083009	1.485562	0.4071835	46.57438
102	-126927.7	-127875.4	947.6971	0.01110278	0.1235284	0.8653688	1.201207	0.4015834	60.17093
103	-126907.6	-127854	946.4532	0.01402371	0.1423653	0.843611	1.231195	0.4116088	58.4212
104	-126890.5	-127840.2	949.6641	0.0004726167	0.09804384	0.9014835	1.444574	0.4126312	43.60502
105	-126889.2	-127838.9	949.6143	0.002228466	0.08424054	0.913531	1.32548	0.4108876	82.14697
106	-126889	-127837.6	948.5228	0.002791999	0.1264416	0.8707664	1.305164	0.4060309	61.80064
107	-126916.6	-127866.3	949.6968	0.0013916	0.07991416	0.9186942	1.549531	0.4010801	102.5063
