Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
60	-126373.1	-127322.5	949.4593	0.00315581	0.0992137	0.8976305	1.309188	0.6628531	95.3469
61	-126403.8	-127352.9	949.1026	0.006299047	0.1161249	0.877576	1.350661	0.6838516	104.6806
62	-126386.2	-127334	947.7671	0.004678151	0.04640537	0.9489165	1.58497	0.6708462	90.17721
63	-126371.1	-127319.8	948.7154	0.001101391	0.1346337	0.8642649	1.527525	0.6753477	100.0168
64	-126344.8	-127292.6	947.8828	0.01450047	0.083162	0.9023375	1.49162	0.6594735	88.22038
65	-126357.6	-127307.2	949.6103	0.0005877212	0.100892	0.8985203	1.300009	0.6674379	93.86033
66	-126403.4	-127353.3	949.8167	0.002811901	0.08263992	0.9145482	1.403993	0.6604836	98.0426
67	-126386.9	-127335.1	948.2286	0.004243742	0.04707916	0.9486771	1.366875	0.6430222	95.40188
68	-126361.8	-127311.9	950.1166	0.0002235562	0.09464151	0.9051349	1.372683	0.6457542	139.9928
69	-126358.6	-127308.7	950.1119	0.002254278	0.0955454	0.9022003	1.542896	0.6587204	105.3561
70	-126385.1	-127333.1	947.9397	0.02200994	0.06993211	0.908058	1.456214	0.6576822	105.2135
71	-126328.6	-127277.4	948.7793	0.013896	0.09734119	0.8887628	1.459875	0.6593356	104.9359
72	-126341.6	-127290.8	949.218	0.001917745	0.07422998	0.9238523	1.467275	0.662678	88.53
73	-126349.1	-127298.7	949.5792	0.003201016	0.1205347	0.8762643	1.41156	0.6375147	118.7472
74	-126313.7	-127261	947.273	0.01673483	0.08430109	0.8989641	1.216118	0.6192636	83.95014
75	-126316.4	-127265.1	948.6821	0.003028303	0.08998052	0.9069912	1.513912	0.6346535	83.32209
76	-126345.1	-127294.4	949.2613	0.008696168	0.08074393	0.9105599	1.381606	0.6298626	99.68827
77	-126338.3	-127287.4	949.0969	0.01488548	0.08472824	0.9003863	1.379032	0.6286889	119.7673
78	-126335.5	-127284.6	949.0923	0.000468608	0.1368433	0.8626881	1.454237	0.6401581	111.7083
79	-126317.5	-127265.4	947.8606	0.01098439	0.05272058	0.936295	1.441811	0.6396235	94.11061
80	-126346.1	-127296.7	950.5812	0.0003999519	0.07960929	0.9199908	1.574545	0.6369727	111.7444
81	-126347.8	-127295.6	947.8374	0.0140543	0.04625655	0.9396892	1.416106	0.6369727	114.1192
82	-126330	-127279.4	949.4076	0.001235907	0.06903766	0.9297264	1.426529	0.6416611	91.42748
83	-126331.2	-127280.9	949.701	0.003040361	0.1070746	0.8898851	1.39441	0.6272136	103.4616
84	-126388.6	-127337	948.3747	0.01850673	0.08335547	0.8981378	1.437124	0.6272556	136.2632
85	-126332.7	-127280.7	948.0272	0.01313409	0.1244933	0.8623726	1.457424	0.6361158	134.518
86	-126324.4	-127273	948.6038	0.003448732	0.05219727	0.944354	1.449597	0.6274977	93.8138
87	-126338.3	-127286.4	948.0886	0.0003478705	0.1469436	0.8527086	1.46967	0.6361866	98.49956
88	-126287.6	-127236.4	948.7714	0.003023838	0.1350783	0.8618979	1.4873	0.6438184	107.3645
89	-126316.5	-127265.3	948.8118	0.0131051	0.06755164	0.9193433	1.4938	0.6466321	104.3024
90	-126355	-127304.9	949.9302	0.0003619499	0.06565369	0.9339844	1.497148	0.6480814	100.0704
91	-126337.5	-127284.4	946.9465	0.007684072	0.1314388	0.8608771	1.513442	0.6551346	83.56231
92	-126340.7	-127288.8	948.0741	0.007899709	0.0459658	0.9461345	1.33213	0.6481189	101.5269
93	-126344	-127293.1	949.1673	0.002791939	0.1065169	0.8906912	1.410142	0.6582524	92.87059
94	-126322.8	-127272.5	949.6871	0.0003585217	0.06221267	0.9374288	1.382128	0.6451756	97.68491
95	-126352.1	-127301.9	949.7365	0.003109237	0.07260703	0.9242837	1.380325	0.6443343	98.70342
96	-126337.9	-127286.5	948.6051	0.008705074	0.1137398	0.8775551	1.369304	0.6391895	98.06718
97	-126348	-127297.1	949.0493	0.001951741	0.05702465	0.9410236	1.236839	0.6375984	93.83629
98	-126324.3	-127271.9	947.5228	0.005571378	0.1127814	0.8816472	1.535985	0.6329138	79.34958
99	-126340.3	-127286.5	946.1463	0.02297198	0.09504863	0.8819794	1.494548	0.6380603	80.60639
100	-126314	-127260.1	946.1828	0.01078104	0.0749328	0.9142862	1.497178	0.6391829	68.43323
101	-126290.4	-127238	947.5349	0.007232464	0.09607682	0.8966907	1.439565	0.6448304	77.23889
102	-126327.8	-127276.1	948.2955	0.02208803	0.07747003	0.9004419	1.586844	0.6443819	120.5813
103	-126323.8	-127271.9	948.1211	0.01819058	0.1138825	0.8679269	1.511048	0.645046	121.0173
104	-126330.2	-127277.3	947.1336	0.004479573	0.1305353	0.8649852	1.464448	0.6512542	81.2085
105	-126314	-127262.8	948.7908	0.01402218	0.07534415	0.9106337	1.415513	0.6746231	137.1206
106	-126299.6	-127249.1	949.5142	0.01092437	0.08267589	0.9063997	1.440351	0.6688601	116.066
107	-126297.7	-127246.4	948.6859	0.009754199	0.06513475	0.925111	1.340391	0.6692538	95.90608
108	-126316.3	-127264.3	947.9366	0.001456355	0.1141677	0.8843759	1.469453	0.6463473	79.33497
109	-126311.3	-127260.2	948.8619	0.009076317	0.1160964	0.8748273	1.458958	0.6542391	106.7598
110	-126285.3	-127231.5	946.2304	0.0315951	0.08252447	0.8858804	1.178307	0.6453144	91.41331
111	-126311.2	-127257.7	946.4998	0.02214911	0.0670495	0.9108014	1.425259	0.6463618	83.91064
112	-126313.5	-127262	948.5054	0.002109852	0.05332549	0.9445647	1.414487	0.6414768	89.45893
113	-126343.1	-127293.1	949.9965	0.004219483	0.06672807	0.9290524	1.26108	0.6492887	113.3829
114	-126339.5	-127286.9	947.4443	0.008250508	0.1099434	0.8818061	1.547432	0.6335649	80.65937
