Iteration	Posterior	Likelihood	Prior	b_long	b_med	b_short	height_bg	height_mol	root_age
78	-126848.7	-127790.4	941.7523	1	0	0	1.408939	0.5326166	166.0079
79	-126844.3	-127786	941.7512	1	0	0	1.595579	0.5277473	88.9481
80	-126866.1	-127807.8	941.7512	1	0	0	1.582056	0.5232744	34.20946
81	-126854.2	-127796	941.7535	1	0	0	1.549523	0.5223527	24.50206
82	-126848.6	-127790.4	941.7503	1	0	0	1.536686	0.5180255	41.08079
83	-126853.1	-127794.8	941.7504	1	0	0	1.531894	0.5164101	225.591
84	-126818.9	-127760.6	941.7489	1	0	0	1.32571	0.5249872	234.3119
85	-126802.9	-127744.7	941.7502	1	0	0	1.484061	0.5259931	155.1773
86	-126819.9	-127761.6	941.7491	1	0	0	1.48931	0.5353474	235.4283
87	-126855.2	-127796.9	941.7493	1	0	0	1.582646	0.5353808	170.6327
88	-126849	-127790.7	941.7503	1	0	0	1.600672	0.5414786	195.591
89	-126840.1	-127781.9	941.7504	1	0	0	1.587716	0.5370958	198.4022
90	-126812	-127753.8	941.7469	1	0	0	1.536587	0.547733	100.1651
91	-126828	-127769.8	941.7474	1	0	0	1.541662	0.5495421	227.8901
92	-126848.8	-127790.6	941.7486	1	0	0	1.550412	0.552661	144.7452
93	-126830.7	-127772.5	941.7492	1	0	0	1.50128	0.536083	190.8614
94	-126844.5	-127786.3	941.7503	1	0	0	1.288785	0.5228828	182.3806
95	-126867.4	-127809.1	941.7496	1	0	0	1.327401	0.5274457	69.84793
96	-126848.7	-127790.5	941.7496	1	0	0	1.626574	0.5293299	36.1595
97	-126871.4	-127813.2	941.7491	1	0	0	1.387684	0.5293299	25.69085
98	-126856.7	-127798.5	941.7491	1	0	0	1.479069	0.5440385	12.38831
99	-126857.7	-127799.5	941.751	1	0	0	1.429243	0.5257113	13.74122
100	-126878.5	-127820.2	941.7484	1	0	0	1.429941	0.5259682	8.892668
101	-126861	-127802.7	941.7499	1	0	0	1.509115	0.5280336	8.026593
102	-126871.6	-127813.3	941.7495	1	0	0	1.407878	0.5267943	123.3436
103	-126834.5	-127776.3	941.7509	1	0	0	1.393996	0.5215999	62.92996
104	-126820.4	-127762.2	941.7463	1	0	0	1.404588	0.5255631	39.13776
105	-126864.6	-127806.4	941.7499	1	0	0	1.527597	0.5170072	12.93212
106	-126865.9	-127807.6	941.7499	1	0	0	1.398792	0.5186702	17.4233
107	-126813.5	-127755.3	941.7517	1	0	0	1.45408	0.5160397	51.26467
108	-126840.3	-127782.1	941.7517	1	0	0	1.359522	0.505847	130.3362
109	-126864.2	-127806	941.7507	1	0	0	1.35996	0.5107568	185.1302
110	-126873.1	-127814.9	941.7503	1	0	0	1.441069	0.5030089	227.4874
111	-126789.1	-127730.8	941.7492	1	0	0	1.439768	0.5025546	191.554
112	-126819.8	-127761.5	941.7473	1	0	0	1.231147	0.5086089	74.82034
113	-126823.2	-127765	941.7481	1	0	0	1.307702	0.5085498	124.143
114	-126848.2	-127790	941.7478	1	0	0	1.319725	0.5132253	128.9472
115	-126865.3	-127807	941.7477	1	0	0	1.528687	0.5124362	125.0138
116	-126842.3	-127784.1	941.7486	1	0	0	1.531155	0.5104006	71.46289
117	-126848.8	-127790.5	941.7485	1	0	0	1.458479	0.5176947	203.7842
118	-126842.6	-127784.4	941.7488	1	0	0	1.42613	0.5018541	208.4841
119	-126860.5	-127802.2	941.749	1	0	0	1.44026	0.5068263	135.0842
120	-126829.2	-127771	941.7491	1	0	0	1.458915	0.4988666	61.11304
121	-126833.4	-127775.2	941.7488	1	0	0	1.491251	0.4930971	27.31542
122	-126841.4	-127783.2	941.7492	1	0	0	1.337547	0.4911056	180.8246
123	-126809.4	-127751.1	941.7493	1	0	0	1.349902	0.4956416	136.2158
124	-126826.2	-127767.9	941.7482	1	0	0	1.364997	0.5104698	18.65585
125	-126829.6	-127771.3	941.7461	1	0	0	1.530455	0.5210992	12.97125
126	-126826.3	-127768	941.7485	1	0	0	1.403302	0.5037885	5.834456
127	-126846.4	-127788.1	941.7505	1	0	0	1.365506	0.4940272	17.30047
128	-126866.8	-127808.6	941.7498	1	0	0	1.359101	0.4980199	98.74773
129	-126847.4	-127789.1	941.7506	1	0	0	1.348215	0.4940309	48.31567
130	-126841.9	-127783.7	941.7506	1	0	0	1.298275	0.4940111	78.0946
131	-126856.2	-127798	941.7499	1	0	0	1.218424	0.4903962	218.896
132	-126879.2	-127821	941.7512	1	0	0	1.232501	0.4960623	116.9264
133	-126852	-127793.8	941.7502	1	0	0	1.177348	0.4982101	168.5827
134	-126834.1	-127775.8	941.7481	1	0	0	1.370968	0.5087419	85.52857
135	-126861.3	-127803	941.7484	1	0	0	1.226603	0.4946313	144.3578
136	-126909.4	-127851.2	941.7494	1	0	0	1.627744	0.4924843	68.25252
137	-126880.2	-127822	941.7487	1	0	0	1.474049	0.4980224	83.03521
138	-126858.2	-127799.9	941.7461	1	0	0	1.461868	0.5005003	216.6788
139	-126824.7	-127766.4	941.7484	1	0	0	1.402609	0.4988233	196.0342
140	-126816.7	-127758.4	941.7473	1	0	0	1.435158	0.5103991	73.31367
141	-126856.2	-127798	941.7482	1	0	0	1.483785	0.5087872	72.67437
142	-126829.3	-127771.1	941.7489	1	0	0	1.463349	0.5063785	208.242
143	-126805.2	-127746.9	941.7485	1	0	0	1.459532	0.5050576	100.6342
144	-126788.2	-127729.9	941.7488	1	0	0	1.434385	0.4975992	226.3602
145	-126781.8	-127723.5	941.7468	1	0	0	1.414088	0.4968683	231.5977
146	-126817	-127758.7	941.7476	1	0	0	1.341059	0.4989325	219.019
147	-126815.1	-127756.9	941.7468	1	0	0	1.311603	0.4879735	230.1041
148	-126852.1	-127793.9	941.7482	1	0	0	1.255673	0.4898252	66.81639
149	-126794.4	-127736.1	941.7491	1	0	0	1.413323	0.489215	212.7153
150	-126793.5	-127735.3	941.7478	1	0	0	1.257478	0.4964299	233.9531
151	-126813	-127754.7	941.7453	1	0	0	1.282774	0.5064162	92.42933
152	-126816.1	-127757.9	941.7481	1	0	0	1.270918	0.4874678	200.2952
153	-126814	-127755.8	941.7484	1	0	0	1.248561	0.4926708	25.54147
154	-126856.1	-127797.9	941.747	1	0	0	1.30324	0.491485	78.05931
155	-126831.3	-127773.1	941.747	1	0	0	1.325752	0.4999751	169.6163
156	-126837.9	-127779.7	941.748	1	0	0	1.370534	0.4890786	227.5001
157	-126834.1	-127775.8	941.7473	1	0	0	1.178988	0.4862477	115.8894
158	-126835.8	-127777.5	941.7473	1	0	0	1.704864	0.4871073	50.85306
159	-126851.3	-127793.1	941.7493	1	0	0	0.9820912	0.4815808	180.3572
160	-126811.9	-127753.7	941.7492	1	0	0	1.212103	0.4830834	238.2925
161	-126828.4	-127770.1	941.7507	1	0	0	1.519581	0.4908039	179.9095
162	-126826.8	-127768.5	941.7503	1	0	0	1.340411	0.4810694	33.9975
163	-126804.2	-127745.9	941.7501	1	0	0	1.350483	0.4846842	31.72138
164	-126817.3	-127759.1	941.7482	1	0	0	1.235819	0.4875467	95.72381
