it Lat Snode Dispersal DRate Enode Establish ERate
2531 Trp 1128 53 0.0046316818356867 1100 25 0.00224890721570596
2541 Tmp 213 17 0.0111345324910439 236 40 0.0220857734915205
2541 Trp 1125 52 0.00452619397821411 1102 29 0.00258828222247788
2551 Tmp 188 15 0.011793895403472 222 49 0.030060998274649
2551 Trp 1151 54 0.00463825912225861 1117 20 0.00177240157822332
2561 Tmp 207 14 0.00952684434220023 234 41 0.023327953101301
2561 Trp 1132 46 0.00398771850699116 1105 19 0.0016892790524369
2571 Tmp 204 19 0.0133035755687467 235 50 0.0275898745612834
2571 Trp 1141 89 0.00759981657215932 1110 58 0.00512062724324598
2581 Tmp 211 15 0.0096556237465029 238 42 0.0226151842013619
2581 Trp 1129 57 0.00495900199518999 1102 30 0.00268082433973005
2591 Tmp 195 17 0.0123126846388913 229 51 0.0293131851741496
2591 Trp 1148 74 0.00635076919204248 1114 40 0.00354202018697561
2601 Tmp 220 23 0.0136415447004328 242 45 0.0231600546083208
2601 Trp 1124 60 0.00524711974919078 1102 38 0.00339957425417514
2611 Tmp 211 20 0.0128224559568593 240 49 0.0265529796687601
2611 Trp 1130 75 0.00655181794035367 1101 46 0.0041212726259902
2621 Tmp 187 10 0.0077860633950002 224 47 0.0281380195963705
2621 Trp 1152 63 0.00538065428305815 1115 26 0.00229628802204438
2631 Tmp 208 19 0.0126395276206724 236 47 0.0260229676331506
2631 Trp 1135 67 0.00578827777559632 1107 39 0.00345982630435818
2641 Tmp 215 17 0.010487198215449 237 39 0.0211455315181467
2641 Trp 1123 43 0.00378541554542291 1101 21 0.00188576745197964
2651 Tmp 219 19 0.0116083881150657 241 41 0.0212855040595076
2651 Trp 1121 52 0.00455075906237371 1099 30 0.0026936706276736
2661 Tmp 213 16 0.0108330171418244 238 41 0.0230344641849771
2661 Trp 1125 49 0.00426662308084217 1100 24 0.00214639928638184
2671 Tmp 216 22 0.0134417936181957 239 45 0.0238073106743656
2671 Trp 1126 59 0.00515143908158742 1103 36 0.00321439450317168
2681 Tmp 207 19 0.0125877175928598 236 48 0.0265134768790095
2681 Trp 1137 56 0.00485891547223264 1108 27 0.0024055137681276
2691 Tmp 200 15 0.0104891165241619 233 48 0.0266089343704687
2691 Trp 1142 60 0.00516354083619691 1109 27 0.0024008362157355
2701 Tmp 198 14 0.0101080521534048 229 45 0.026104324599039
2701 Trp 1142 45 0.00388145526578377 1111 14 0.0012439168181632
2711 Tmp 215 28 0.017023591902556 240 53 0.0275002186260895
2711 Trp 1130 70 0.00615464841781336 1105 45 0.00405733057749697
2721 Tmp 216 16 0.0102728052584949 237 37 0.0203083719246144
2721 Trp 1122 44 0.00383838231675956 1101 23 0.002053798077292
2731 Tmp 201 12 0.0083986582723477 232 43 0.024302730569182
2731 Trp 1137 47 0.00406183739206113 1106 16 0.00142468290870789
2741 Tmp 200 15 0.0102780937663505 232 47 0.0263306293485682
2741 Trp 1139 75 0.00651633906348504 1107 43 0.00384479503643728
2751 Tmp 226 23 0.0137904393917594 245 42 0.0218254682932887
2751 Trp 1113 55 0.00483446387445371 1094 36 0.00323737685855202
2761 Tmp 201 14 0.00972691140409495 230 43 0.0247484397360557
2761 Trp 1140 66 0.00567578412652273 1111 37 0.00326561686536494
2771 Tmp 206 14 0.00932167480786788 236 44 0.0242817936590127
2771 Trp 1134 58 0.00502344270780793 1104 28 0.00249205978154612
2781 Tmp 202 13 0.00904663479694964 233 44 0.0246001638918828
2781 Trp 1138 52 0.00448201775320095 1107 21 0.00186661524531581
2791 Tmp 199 15 0.0104332860581435 235 51 0.027952729052205
2791 Trp 1144 70 0.00601826218325848 1108 34 0.0030237106890974
2801 Tmp 215 16 0.0101792189228931 238 39 0.020972074190971
2801 Trp 1125 48 0.00417635781107171 1102 25 0.00223105080578086
2811 Tmp 228 23 0.0138247712112315 251 46 0.023078855487246
2811 Trp 1116 54 0.00474671917261917 1093 31 0.00280624442202853
2821 Tmp 208 20 0.0130992859032359 236 48 0.0256266544541421
2821 Trp 1137 73 0.0062850673589834 1109 45 0.0039934036961297
2831 Tmp 224 21 0.0126188916670013 243 40 0.0210640381436239
2831 Trp 1116 57 0.00502640310069693 1097 38 0.00342178419027115
2841 Tmp 235 24 0.0139834982194127 248 37 0.0193638860338278
2841 Trp 1105 46 0.00406668692225075 1092 33 0.0029684389341498
2851 Tmp 201 16 0.0114214643408035 233 48 0.0270766723191665
2851 Trp 1142 61 0.00525106021587243 1110 29 0.00257896315085177
2861 Tmp 211 16 0.0104144089197699 235 40 0.0219180320773473
2861 Trp 1128 70 0.00608431265324845 1104 46 0.00410115633205191
2871 Tmp 207 16 0.0111100374494365 235 44 0.0247266072464003
2871 Trp 1134 55 0.00475857243909705 1106 27 0.00240668143670596
2881 Tmp 211 18 0.0115759642864266 239 46 0.0248214721684751
2881 Trp 1129 64 0.00558048584368776 1101 36 0.00322284715047787
2891 Tmp 200 15 0.0101445533933409 230 45 0.0252004276814983
2891 Trp 1141 63 0.00544053666896222 1111 33 0.00292743112112872
2901 Tmp 186 10 0.00779610743552148 224 48 0.0288156972646378
2901 Trp 1153 53 0.00452898454010012 1115 15 0.0013251661694393
2911 Tmp 202 16 0.0121669334292169 231 45 0.0265558515765837
2911 Trp 1135 42 0.00361481642484768 1106 13 0.00115665101572282
2921 Tmp 207 12 0.00802867035507574 234 39 0.0217151356335584
2921 Trp 1131 39 0.00338321970628452 1104 12 0.00106893357462189
2931 Tmp 197 15 0.0104992413405696 230 48 0.0273634583594164
2931 Trp 1146 58 0.00498495089778544 1113 25 0.00221052515683208
2941 Tmp 222 21 0.0128969614491674 244 43 0.0227533714576655
2941 Trp 1121 54 0.00473057368473287 1099 32 0.00286903740489128
2951 Tmp 210 20 0.0131137441250836 237 47 0.0258955813958992
2951 Trp 1130 88 0.00767984579383497 1103 61 0.00546169234155888
2961 Tmp 202 15 0.0104527599014291 232 45 0.0253304510732459
2961 Trp 1138 74 0.0063933821767941 1108 44 0.0039170377828653
2971 Tmp 216 20 0.0128097609148434 240 44 0.0237198845304161
2971 Trp 1126 54 0.00472479591521626 1102 30 0.00269411291589438
2981 Tmp 200 12 0.0085226667424237 229 41 0.0234564686087988
2981 Trp 1137 53 0.00457739235095105 1108 24 0.00213547144821047
2991 Tmp 196 19 0.0146018015141692 228 51 0.0303958381160216
2991 Trp 1147 70 0.00597062850347807 1115 38 0.00334878271354881
3001 Tmp 222 21 0.0130806228383786 244 43 0.0231391987740314
3001 Trp 1122 61 0.00534122130125413 1100 39 0.0034922083124356
3011 Tmp 225 24 0.0146226013474305 244 43 0.0230367841592215
3011 Trp 1116 62 0.00545943294961444 1097 43 0.00386301370913128
3021 Tmp 210 23 0.0151079652970037 238 51 0.0280036547844405
3021 Trp 1131 66 0.0057596554382268 1103 38 0.00340495577033062
3031 Tmp 220 17 0.0104958827013736 241 38 0.0204291173187786
3031 Trp 1117 48 0.0042191734158486 1096 27 0.00242451920822599
3041 Tmp 194 16 0.0117601024507785 227 49 0.0288206582808334
3041 Trp 1149 73 0.00628201364225335 1116 40 0.00354583498807516
3051 Tmp 205 15 0.0105705829056684 233 43 0.0243775223064463
3051 Trp 1133 56 0.00484444439353549 1105 28 0.00249671291048567
3061 Tmp 198 17 0.0121141801915915 232 51 0.0286857177742833
3061 Trp 1145 72 0.00617302127105937 1111 38 0.0033660840217834
3071 Tmp 206 16 0.0109406022056186 234 44 0.0246053675809703
3071 Trp 1134 57 0.00489892402481322 1106 29 0.0025642334637998
3081 Tmp 213 15 0.00948747922502955 238 40 0.021632074181401
3081 Trp 1125 47 0.0041183134899307 1100 22 0.00197409207235272
3091 Tmp 194 15 0.0101723158085637 226 47 0.0266359817889566
3091 Trp 1147 71 0.00611069289925769 1115 39 0.00344248146904215
3101 Tmp 198 16 0.011778723342605 230 48 0.0275047938133788
3101 Trp 1143 74 0.00631040267662367 1111 42 0.00370373648405784
3111 Tmp 216 24 0.015671416572907 237 45 0.0249476685922765
3111 Trp 1125 54 0.00472237738917052 1104 33 0.00295630230596756
3121 Tmp 211 18 0.0115489682863919 241 48 0.0252948686737188
3121 Trp 1133 69 0.00598400462606781 1103 39 0.00348472452339555
3131 Tmp 210 23 0.0157312323602229 235 48 0.0268538683395955
3131 Trp 1130 69 0.00597198706060227 1105 44 0.0039185821966792
3141 Tmp 206 14 0.00935377657326079 234 42 0.0232300250883994
3141 Trp 1133 47 0.00408488309582013 1105 19 0.0016972538680928
3151 Tmp 206 21 0.0143571677118907 235 50 0.0283099157249196
3151 Trp 1136 51 0.00443377653891902 1107 22 0.0019644386810917
3161 Tmp 210 17 0.0108491892399286 236 43 0.0235446791524684
3161 Trp 1131 51 0.00444596068402759 1105 25 0.00222981171064357
3171 Tmp 217 20 0.0132713852937729 240 43 0.0240516104603183
3171 Trp 1123 44 0.00383159179645935 1100 21 0.00187455519667227
3181 Tmp 210 19 0.0129095214008627 237 46 0.0256914397211943
3181 Trp 1130 52 0.004508537550689 1103 25 0.00222916220077612
3191 Tmp 193 10 0.00771822734021651 229 46 0.0270266078128988
3191 Trp 1147 56 0.00477758789537172 1111 20 0.00176756455973258
3201 Tmp 212 22 0.0144300617541052 240 50 0.0268122687257488
3201 Trp 1130 53 0.00461213748022236 1102 25 0.00224191216475032
3211 Tmp 239 25 0.0138284293823127 252 38 0.0193866360183678
3211 Trp 1102 51 0.00454030395342932 1089 38 0.00342945282971623
3221 Tmp 211 16 0.0105536285802393 237 42 0.0231754314580421
3221 Trp 1129 60 0.00519405994433885 1103 34 0.0030207562951077
3231 Tmp 212 19 0.0122132873740044 235 42 0.022969830093452
3231 Trp 1128 56 0.00486359282732334 1105 33 0.00293559856539483
3241 Tmp 202 16 0.0104947696511372 230 44 0.0243228104609478
3241 Trp 1139 62 0.00533823446213684 1111 34 0.00300091059304466
3251 Tmp 201 13 0.00899335925510025 232 44 0.0248946359287505
3251 Trp 1139 65 0.00558829621815289 1108 34 0.00300631835878095
3261 Tmp 228 25 0.014960319502876 244 41 0.0213977872261186
3261 Trp 1114 59 0.00520261441684441 1098 43 0.00387546123870654
3271 Tmp 212 18 0.0113608740001157 239 45 0.0238696141106635
3271 Trp 1130 53 0.00460427012621993 1103 26 0.0023193170281385
3281 Tmp 206 13 0.0087971063475081 232 39 0.0220244026145507
3281 Trp 1135 54 0.00465466632356041 1109 28 0.00247606687611997
3291 Tmp 204 15 0.0107339851071109 234 45 0.0255869593025595
3291 Trp 1137 51 0.00440523461853998 1107 21 0.0018723489187646
3301 Tmp 225 20 0.0119402719537236 245 40 0.0209922684766711
3301 Trp 1115 54 0.00477321164203266 1095 34 0.00306785060450989
3311 Tmp 225 20 0.0114356734228573 247 42 0.021222731640068
3311 Trp 1119 63 0.00553197957258431 1097 41 0.00367441740816873
3321 Tmp 202 13 0.00917332888497446 231 42 0.0239462148174052
3321 Trp 1136 48 0.00414620979338055 1107 19 0.00169038252230507
3331 Tmp 220 19 0.0117955537752685 241 40 0.0214690360760798
3331 Trp 1117 43 0.00377417435452188 1096 22 0.00197471496437763
3341 Tmp 203 16 0.0108361726899482 236 49 0.0273965791507454
3341 Trp 1140 56 0.00486137086993927 1107 23 0.0020522198825485
3351 Tmp 198 12 0.00861636540963122 230 44 0.025335553791171
3351 Trp 1139 54 0.00465672322747621 1107 22 0.00195518266329181
3361 Tmp 207 13 0.0089263252561488 235 41 0.0228509485462182
3361 Trp 1131 51 0.00442891638031878 1103 23 0.00205773057534223
3371 Tmp 203 16 0.010915029876074 232 45 0.0250573732410758
3371 Trp 1138 75 0.00646576837572478 1109 46 0.00408179943676251
3381 Tmp 242 31 0.01701671626061 249 38 0.0201565424558495
3381 Trp 1097 55 0.00489858617405747 1090 48 0.00429944813785374
3391 Tmp 216 17 0.0109225704123502 242 43 0.0230729325121204
3391 Trp 1127 65 0.00561758110311137 1101 39 0.00346248980396854
3401 Tmp 201 13 0.00898232397484806 233 45 0.0252102849391055
3401 Trp 1141 62 0.00535678196602068 1109 30 0.00266989090191409
3411 Tmp 202 16 0.0111056739967782 234 48 0.0267564011700608
3411 Trp 1141 56 0.00481925387813699 1109 24 0.00213015272712574
3421 Tmp 207 15 0.0101026812035363 236 44 0.0243834497190948
3421 Trp 1132 54 0.0046869400522484 1103 25 0.0022318184482829
3431 Tmp 296 47 0.0193810155539617 281 32 0.013874204272112
3431 Trp 1049 42 0.00397639879954099 1064 57 0.00533661104688241
3441 Tmp 245 31 0.0177186790860775 256 42 0.021315933252058
3441 Trp 1098 57 0.00506350396428308 1087 46 0.00416808780376409
3451 Tmp 206 13 0.00875481439870921 236 43 0.0235870549777198
3451 Trp 1135 73 0.00630222026782333 1105 43 0.00382389358866645
3461 Tmp 197 17 0.011793520550387 233 53 0.0291633853960474
3461 Trp 1146 77 0.00664235541981752 1110 41 0.00365536323586375
3471 Tmp 237 25 0.0136304735493941 250 38 0.0187001600443355
3471 Trp 1105 50 0.0044325759037108 1092 37 0.00333869326578735
3481 Tmp 201 16 0.0108879449857182 232 47 0.0259750695703552
3481 Trp 1142 63 0.00541779576067223 1111 32 0.00283476010665956
3491 Tmp 204 11 0.00767812217366578 233 40 0.0226547948896039
3491 Trp 1134 57 0.00491917573168832 1105 28 0.00248793386639309
3501 Tmp 205 15 0.00983768282431742 233 43 0.0238082987894989
3501 Trp 1136 52 0.00451522627421867 1108 24 0.00213613514249153
3511 Tmp 209 18 0.0115763696967686 237 46 0.0252207797590171
3511 Trp 1133 68 0.00592355794350236 1105 40 0.0035680561358818
3521 Tmp 215 19 0.0125039321164684 240 44 0.0240364198084835
3521 Trp 1127 63 0.00546293663210619 1102 38 0.00338643938698019
3531 Tmp 205 21 0.0145692240010524 235 51 0.028302252978373
3531 Trp 1139 68 0.00585998959418036 1109 38 0.00337972028207396
3541 Tmp 215 22 0.015012070386958 238 45 0.0253365619507781
3541 Trp 1126 48 0.00415762115948441 1103 25 0.00222529582177849
3551 Tmp 214 25 0.0158116820071395 239 50 0.026756529863553
3551 Trp 1126 90 0.00784487329357215 1101 65 0.00581142340150559
3561 Tmp 200 17 0.0114415178425255 233 50 0.0275864100086298
3561 Trp 1142 64 0.00551600157759334 1109 31 0.00274921709161405
3571 Tmp 196 14 0.00971970238937778 228 46 0.0261435162647453
3571 Trp 1145 60 0.00516678689314756 1113 28 0.00247930492216148
3581 Tmp 199 16 0.0114243889597733 233 50 0.0282211388459402
3581 Trp 1144 82 0.00695882743022541 1110 48 0.00420595680419588
3591 Tmp 217 19 0.0115284787160255 241 43 0.0221907250969342
3591 Trp 1125 64 0.00557954584989967 1101 40 0.00357755715874387
3601 Tmp 230 23 0.0137728106963701 245 38 0.0201471723796671
3601 Trp 1109 39 0.00346225122013943 1094 24 0.00217230282941704
3611 Tmp 195 12 0.00892864127990978 228 45 0.0260850610073059
3611 Trp 1146 59 0.00501388835900422 1113 26 0.00228347028212953
3621 Tmp 203 13 0.00887634135344459 236 46 0.0254472499392101
3621 Trp 1136 52 0.00450329922673813 1103 19 0.00169582351007929
3631 Tmp 215 22 0.0135682820339615 238 45 0.0235958190977135
3631 Trp 1128 60 0.00521764845547139 1105 37 0.00329952236549417
3641 Tmp 205 14 0.00931915495354007 235 44 0.0240502874894843
3641 Trp 1137 51 0.00440108109902742 1107 21 0.00186486909381915
3651 Tmp 203 14 0.00977044660226386 233 44 0.0249408012369005
3651 Trp 1137 46 0.00396949243859449 1107 16 0.00142132541275893
3661 Tmp 205 21 0.0147345996542968 236 52 0.0287729601547538
3661 Trp 1140 76 0.00655345348187928 1109 45 0.00401251781652205
3671 Tmp 238 27 0.0149777148245316 252 41 0.0205969801084539
3671 Trp 1103 52 0.00463518534041157 1089 38 0.00344495204479165
3681 Tmp 215 16 0.0103999491884483 240 41 0.0222582442650236
3681 Trp 1125 44 0.0038315632886529 1100 19 0.00169946053663721
3691 Tmp 214 14 0.00882653889066344 238 38 0.0208552173623504
3691 Trp 1123 53 0.00463749400441588 1099 29 0.0025909916361339
3701 Tmp 219 19 0.0113961299198637 242 42 0.022275633179702
3701 Trp 1119 47 0.00415905869601082 1096 24 0.00216559622340173
3711 Tmp 212 19 0.0123390897059322 240 47 0.0255945959548318
3711 Trp 1128 51 0.00446197181085196 1100 23 0.00206585199476489
3721 Tmp 210 18 0.0115391557000427 238 46 0.0248535718720089
3721 Trp 1135 66 0.00571000417567501 1107 38 0.00337246394402261
3731 Tmp 217 17 0.0107128460743176 241 41 0.0220051638820357
3731 Trp 1121 41 0.00359824039774836 1097 17 0.00152903285574054
3741 Tmp 205 17 0.0118138984239693 235 47 0.0262900362046521
3741 Trp 1136 63 0.00547127631481959 1106 33 0.00295542300844183
3751 Tmp 222 22 0.0133941823732633 242 42 0.0222096748722787
3751 Trp 1118 71 0.00620471050227387 1098 51 0.0045558674906016
3761 Tmp 205 14 0.00973468075453441 234 43 0.0239841348852128
3761 Trp 1133 41 0.00354960275391736 1104 12 0.0010718215529827
3771 Tmp 194 13 0.00921878145139092 228 47 0.0268977937233495
3771 Trp 1145 62 0.00535896930887273 1111 28 0.00249283346802247
3781 Tmp 216 18 0.0111120790623684 239 41 0.0218580576229472
3781 Trp 1124 68 0.00591740119451814 1101 45 0.00400510819723297
3791 Tmp 195 19 0.0134090181130393 231 55 0.0306061708506684
3791 Trp 1150 92 0.00787937303788313 1114 56 0.00495751168637173
3801 Tmp 227 21 0.0124926874277226 244 38 0.0198174373344274
3801 Trp 1111 38 0.00336257081310768 1094 21 0.00189798641021105
3811 Tmp 218 25 0.0146099520328392 243 50 0.0249555092557101
3811 Trp 1125 66 0.00581799142708896 1100 41 0.00370983046223724
3821 Tmp 207 18 0.0120177019507906 236 47 0.0257959673669158
3821 Trp 1135 63 0.00546040781314212 1106 34 0.00303208658673198
3831 Tmp 205 19 0.0127172858262843 233 47 0.0257940139765907
3831 Trp 1134 69 0.00597219622599016 1106 41 0.00365241809243783
3841 Tmp 202 14 0.00969795846890848 233 45 0.0252538028937149
3841 Trp 1137 57 0.00492546536980006 1106 26 0.00231436077934666
3851 Tmp 192 11 0.00815691840639709 226 45 0.0264980962987397
3851 Trp 1146 51 0.00438205043167992 1112 17 0.00150593063423203
3861 Tmp 210 17 0.011283004289181 238 45 0.024690613580677
3861 Trp 1129 48 0.00418473579860679 1101 20 0.00179301535876677
3871 Tmp 216 22 0.0140571548068198 242 48 0.0256468384448983
3871 Trp 1125 58 0.00507269681410726 1099 32 0.00287582958334787
3881 Tmp 206 17 0.0115196734592704 234 45 0.0249410337844011
3881 Trp 1133 66 0.00571591645337263 1105 38 0.00338735707937211
3891 Tmp 221 22 0.0135954015482338 243 44 0.0236778727867969
3891 Trp 1117 71 0.00625565657062323 1095 49 0.00441058115091902
3901 Tmp 199 20 0.0141178598398852 230 51 0.0289293967945939
3901 Trp 1143 83 0.00708413236254456 1112 52 0.00457341552085033
3911 Tmp 212 17 0.011254953387743 238 43 0.0235875996949443
3911 Trp 1127 47 0.00409324330244922 1101 21 0.00188007089801789
3921 Tmp 204 16 0.0113410581935249 231 43 0.0245728279588768
3921 Trp 1137 58 0.00498524327849761 1110 31 0.00274451900566481
3931 Tmp 234 28 0.0163466876985486 250 44 0.0230057584432957
3931 Trp 1106 55 0.00488234781049731 1090 39 0.00352450212399733
3941 Tmp 208 17 0.0111778215556063 236 45 0.0245053867455248
3941 Trp 1135 63 0.00545790832514933 1107 35 0.00311736763775626
3951 Tmp 210 18 0.0127168504719022 236 44 0.024645873456687
3951 Trp 1133 60 0.00512908626182495 1107 34 0.00300137371356528
3961 Tmp 216 27 0.0163018985052131 240 51 0.0270471887927587
3961 Trp 1129 72 0.00629482595340818 1105 48 0.00428241812225051
3971 Tmp 214 19 0.0121176307911856 240 45 0.0241053802373036
3971 Trp 1129 61 0.00530385230607539 1103 35 0.00312437665505563
3981 Tmp 213 20 0.0125837473949873 241 48 0.0250776059823319
3981 Trp 1134 61 0.00532264719870026 1106 33 0.00296342696604684
3991 Tmp 207 16 0.0107336079576125 239 48 0.0259821911728542
3991 Trp 1137 80 0.00691629373667185 1105 48 0.00428184740895927
4001 Tmp 224 22 0.0138220609215496 244 42 0.0224576666767183
4001 Trp 1116 57 0.00500862097550108 1096 37 0.00333277754959103
4011 Tmp 197 16 0.0112658171456626 232 51 0.0282749050485029
4011 Trp 1146 86 0.00734079921527171 1111 51 0.00450058846226632
4021 Tmp 205 15 0.0105601063512535 234 44 0.0248329925517756
