Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
0	-6266.804	-6265.739	-1.065012	0.00133321	0.00566695	0.0586062	0.0013278	0.00564399	0.0583687	-6.62017	-5.1731	-2.83691	-0.00406058	0.0009168829	0.00555037	0.000332415	0.00830796	0.00883649	7.46684e-05	0.00712499	0.000916883	0.000916883	0.005550365	0.008307962	0.0003324147	7.466838e-05	0.00883649	0.007124988	0.269531	0.321578	0.222751	0.0814773	0.0181932	0.0864706	0.0682533	0.0740019	0.129822	0.0981865	0.106456	0.186756	-2.68453	-2.60366	-2.04159	0.363642
10	-6275.924	-6277.754	1.830372	0.00018546	0.00859425	0.0248514	0.000333564	0.0154574	0.044697	-8.59267	-4.75666	-3.69484	0.5869948	0.001797908	0.0030588	0.000345738	0.0136367	0.00394975	0.000399645	0.00368291	0.00179791	0.00179791	0.003058805	0.01363669	0.0003457379	0.0003996446	0.003949753	0.003682908	0.272652	0.281027	0.124515	0.133573	0.0415706	0.146662	0.0684867	0.0687679	0.108216	0.110957	0.111412	0.175322	-2.68112	-2.67702	-2.22363	0.4825
20	-6266.725	-6269.377	2.651346	0.00101481	0.0526172	0.111329	0.000852433	0.0441982	0.0935154	-6.89306	-2.94471	-2.19527	-0.1743606	0.0006908222	0.00419356	0.000145288	0.0121977	0.00742241	0.00100639	0.00330361	0.000690822	0.000690822	0.004193558	0.01219769	0.0001452882	0.001006391	0.007422412	0.003303615	0.138553	0.804466	0.0147247	0.00788119	0.00201033	0.0323643	0.0697357	0.0899311	0.143041	0.0934563	0.120521	0.191696	-2.66304	-2.40871	-1.94463	0.2927812
30	-6265.835	-6262.8	-3.035	0.00146702	0.0308344	0.108438	0.00115922	0.0243649	0.085686	-6.52452	-3.47912	-2.22158	-0.2354875	0.001644228	0.0083335	9.6575e-05	0.00906171	0.0100472	9.50805e-05	0.00398652	0.00164423	0.00164423	0.0083335	0.009061714	9.657505e-05	9.508054e-05	0.01004724	0.003986523	0.136857	0.0564417	0.0694752	0.22896	0.365287	0.142979	0.0629373	0.0633493	0.139075	0.0968349	0.0974688	0.21398	-2.76562	-2.75909	-1.97274	0.4308681
40	-6269.437	-6274.85	5.412743	0.00102748	0.0198996	0.12194	0.000212403	0.00411371	0.0252078	-6.88065	-3.91705	-2.10422	-1.576377	0.001186591	0.00684251	5.45772e-05	0.00583846	0.00756638	0.00142168	0.00279425	0.00118659	0.00118659	0.006842512	0.005838458	5.457724e-05	0.001421681	0.007566381	0.00279425	0.422332	0.0651381	0.041165	0.185928	0.135695	0.149742	0.0675842	0.0557768	0.0914339	0.0986301	0.0813988	0.133436	-2.69438	-2.8864	-2.39214	0.3780021
50	-6269.908	-6280.04	10.1328	0.00362558	0.045999	0.0154741	0.00336403	0.0426806	0.0143579	-5.61974	-3.07914	-4.16858	-0.07487349	0.002158492	0.00616435	0.00018772	0.00687762	0.00410759	0.00210058	0.00240382	0.00215849	0.00215849	0.006164348	0.006877619	0.0001877196	0.002100585	0.00410759	0.002403821	0.589491	0.0895101	0.0212973	0.0181945	0.185149	0.0963588	0.0685273	0.0885829	0.117482	0.0920845	0.119034	0.157868	-2.68052	-2.42382	-2.14147	0.2954741
60	-6279.145	-6280.51	1.365033	0.00485038	0.00615009	0.0165201	0.00106431	0.0013495	0.00362498	-5.3287	-5.09129	-4.10318	-1.516731	0.0002014792	0.00601286	0.000500886	0.00547749	0.0081431	0.00164123	0.00639733	0.000201479	0.000201479	0.006012858	0.005477486	0.0005008858	0.001641234	0.008143102	0.006397328	0.24249	0.116666	0.0243017	0.0207611	0.164601	0.43118	0.0819606	0.0823623	0.0812008	0.332823	0.334454	0.329737	-2.50152	-2.49663	-2.51083	1.40137
70	-6276.778	-6261.303	-15.47463	0.00693981	0.0157322	0.00388448	0.000933403	0.00211598	0.000522462	-4.97048	-4.15204	-5.55077	-2.006193	0.001598958	0.00807186	5.38655e-05	0.00842918	0.00968324	0.00215399	0.0109135	0.00159896	0.00159896	0.008071859	0.008429178	5.386545e-05	0.00215399	0.009683242	0.01091354	0.0998866	0.0750853	0.135934	0.148084	0.143079	0.397931	0.0710322	0.0612424	0.102905	0.105496	0.090956	0.152833	-2.64462	-2.79291	-2.27395	0.3955356
80	-6270.011	-6272.369	2.357822	0.00131383	0.0772305	0.0437545	0.000268615	0.0157899	0.00894566	-6.63481	-2.56096	-3.12916	-1.587425	0.0009558285	0.00798624	6.69989e-05	0.00543646	0.00959173	0.000371702	0.00400816	0.000955829	0.000955829	0.00798624	0.005436456	6.699886e-05	0.0003717015	0.009591727	0.004008157	0.321764	0.112675	0.291453	0.0217571	0.184814	0.0675372	0.0601593	0.0642952	0.0988691	0.080404	0.0859317	0.13214	-2.81076	-2.74427	-2.31396	0.290067
90	-6271.39	-6274.056	2.666243	0.00221324	0.0359963	0.0629784	0.000477261	0.00776221	0.0135806	-6.1133	-3.32434	-2.76496	-1.53415	0.0003508436	0.00849628	0.000176779	0.00789734	0.00547966	0.000647155	0.00541315	0.000350844	0.000350844	0.008496278	0.007897344	0.0001767791	0.0006471553	0.005479664	0.005413148	0.0517569	0.0719306	0.528996	0.00557897	0.217473	0.124265	0.0672534	0.068082	0.0971855	0.110054	0.11141	0.159036	-2.69929	-2.68704	-2.33113	0.4925075
