Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta	hidden_rate	Q[1]	Q[2]	R[1]	R[2]	rate_01	rate_10	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta
180	-6065.077	-6066.306	1.229444	0.00495743	0.0209987	0.002841	0.0120339	-5.30687	-3.8633	-0.5567329	0.001083109	0.003302	0.0051174	0.00108311	0.00108311	0.003301997	0.005117404	0.347602	0.197167	0.349641	0.10559	0.0722043	0.074732	0.107853	0.111628	-2.62826	-2.59385	0.4012655
190	-6067.362	-6069.518	2.155741	0.00755818	0.0117403	0.0169697	0.0263595	-4.88513	-4.44473	0.8087983	0.001297832	0.00340801	0.00397464	0.00129783	0.00129783	0.003408007	0.003974639	0.103295	0.0590861	0.0118325	0.825786	0.0761228	0.0779838	0.118133	0.121021	-2.57541	-2.55125	0.4394614
200	-6065.497	-6064.969	-0.5278168	0.00159279	0.0498214	0.000367589	0.0114979	-6.44227	-2.99931	-1.466279	0.001705261	0.00479401	0.00311344	0.00170526	0.00170526	0.00479401	0.003113442	0.168296	0.113134	0.51095	0.207619	0.0682307	0.0904902	0.094346	0.125125	-2.68486	-2.40251	0.3240743
210	-6069.115	-6072.903	3.787217	0.0194685	0.023705	0.0287217	0.0349718	-3.93896	-3.74207	0.3888557	0.0004411858	0.00394783	0.00391014	0.000441186	0.000441186	0.003947826	0.003910137	0.245365	0.631726	0.0640773	0.058832	0.0760984	0.0827503	0.11308	0.122965	-2.57573	-2.49193	0.3960705
220	-6066.721	-6069.854	3.132378	0.00669296	0.0348489	0.00878184	0.0457252	-5.0067	-3.35673	0.2716301	0.0009659468	0.00335553	0.0039551	0.000965947	0.000965947	0.003355531	0.003955097	0.290848	0.0833388	0.0780614	0.547751	0.07351	0.0943167	0.142191	0.182438	-2.61033	-2.3611	0.6597519
230	-6064.037	-6061.676	-2.360896	0.0033686	0.0626359	0.00110336	0.0205159	-5.69326	-2.77042	-1.11614	0.001809024	0.00453947	0.00548453	0.00180902	0.00180902	0.004539471	0.005484531	0.421615	0.0870946	0.117717	0.373573	0.0671293	0.0927717	0.0969147	0.133935	-2.70113	-2.37761	0.36721
240	-6064.146	-6063.693	-0.4530623	0.00759477	0.083079	0.0044066	0.0482037	-4.8803	-2.48796	-0.544356	0.002440676	0.00487324	0.00394972	0.00244068	0.00244068	0.004873237	0.003949722	0.301022	0.526237	0.0548416	0.1179	0.0709104	0.100172	0.0996176	0.140726	-2.64634	-2.30086	0.3399214
250	-6064.725	-6065.066	0.3410286	0.00178333	0.0787881	0.00178433	0.0788322	-6.32927	-2.54099	0.0005595275	0.0009903524	0.00484372	0.00394972	0.000990352	0.000990352	0.004843724	0.003949722	0.790613	0.150341	0.0361877	0.0228587	0.0658426	0.102653	0.105316	0.164194	-2.72049	-2.2764	0.4696961
260	-6068.81	-6068.425	-0.3852625	0.00256018	0.0169164	0.00415113	0.0274285	-5.96768	-4.07947	0.4833026	0.001647498	0.0033269	0.00515933	0.0016475	0.0016475	0.003326902	0.005159333	0.244153	0.27203	0.318829	0.164988	0.0589874	0.0661046	0.0999399	0.111998	-2.83043	-2.71652	0.5272451
270	-6065.876	-6067.835	1.958403	0.00510056	0.0446697	0.00151017	0.0132257	-5.2784	-3.10846	-1.217131	0.001695026	0.00503522	0.00200607	0.00169503	0.00169503	0.00503522	0.002006072	0.473712	0.34412	0.0942488	0.087919	0.0688692	0.079362	0.099108	0.114208	-2.67555	-2.53374	0.3640001
280	-6066.441	-6068.483	2.042025	0.0065089	0.0587096	0.00522254	0.0471067	-5.03458	-2.83515	-0.2201866	0.0006917519	0.00556843	0.00303568	0.000691752	0.000691752	0.005568434	0.003035677	0.318044	0.274042	0.080822	0.327093	0.0756982	0.0909419	0.12247	0.147132	-2.581	-2.39753	0.4811094
290	-6069.601	-6071.379	1.777806	0.00118117	0.00782842	0.00297819	0.0197385	-6.74125	-4.85	0.9248109	4.517881e-05	0.00347075	0.0032486	4.51788e-05	4.51788e-05	0.003470748	0.003248595	0.326198	0.0352951	0.506386	0.13212	0.0792018	0.0914706	0.329371	0.380392	-2.53576	-2.39174	1.425184
300	-6071.654	-6073.128	1.473792	0.00332678	0.0192081	0.0165382	0.0954881	-5.70575	-3.95242	1.603668	0.0006901197	0.00412097	0.00268278	0.00069012	0.00069012	0.004120967	0.002682779	0.426766	0.330012	0.066393	0.176829	0.0782862	0.0925723	0.312664	0.36972	-2.54738	-2.37977	1.384758
310	-6068.118	-6069.839	1.721263	0.00126893	0.0304474	0.00322527	0.077389	-6.66958	-3.49176	0.9328441	0.0003378015	0.00313797	0.00419377	0.000337801	0.000337801	0.003137966	0.004193767	0.444767	0.164642	0.0493982	0.341193	0.0782679	0.0988346	0.208157	0.262855	-2.54762	-2.31431	0.978155
320	-6063.927	-6062.856	-1.070471	0.00185615	0.0540186	0.000649488	0.0189017	-6.28925	-2.91843	-1.050077	0.001459854	0.00429754	0.00480109	0.00145985	0.00145985	0.004297538	0.004801089	0.143923	0.64019	0.0637923	0.152095	0.0717238	0.096912	0.096362	0.130203	-2.63493	-2.33395	0.2952891
330	-6066.714	-6066.523	-0.1915206	0.00828887	0.0730637	0.00445951	0.0393091	-4.79284	-2.61642	-0.6198745	0.0003062997	0.00514534	0.00572834	0.0003063	0.0003063	0.005145336	0.005728336	0.325106	0.168532	0.357209	0.149153	0.0754275	0.102884	0.0920504	0.125558	-2.58458	-2.27415	0.1991649
340	-6065.058	-6068.055	2.997664	0.0014587	0.0426855	0.00162669	0.0476015	-6.53021	-3.1539	0.1090049	0.001673966	0.00309879	0.00287829	0.00167397	0.00167397	0.003098785	0.002878292	0.551602	0.14732	0.0762537	0.224825	0.0689529	0.0958465	0.101139	0.140586	-2.67433	-2.34501	0.3830713
350	-6069.396	-6064.621	-4.774991	0.00568163	0.0439395	0.00334229	0.025848	-5.17052	-3.12494	-0.5305803	0.00305475	0.0051621	0.00596245	0.00305475	0.00305475	0.005162099	0.005962448	0.112323	0.584893	0.25774	0.045044	0.0630587	0.0765549	0.0985998	0.119703	-2.76369	-2.56975	0.4470029
360	-6065.474	-6061.554	-3.919448	0.000458242	0.0658274	0.000180043	0.0258635	-7.68811	-2.72072	-0.9342038	0.002140723	0.00418256	0.00519091	0.00214072	0.00214072	0.004182556	0.005190909	0.31214	0.362399	0.243633	0.0818276	0.0653481	0.0913972	0.0923758	0.129199	-2.72803	-2.39254	0.3461377
370	-6070.176	-6073.909	3.732655	0.00289444	0.034018	0.0019545	0.0229709	-5.84496	-3.38087	-0.39266	0.001536992	0.0042052	0.0017149	0.00153699	0.00153699	0.004205197	0.001714898	0.151137	0.0327394	0.581969	0.234154	0.0738766	0.0732475	0.115101	0.114121	-2.60536	-2.61391	0.4434158
380	-6064.701	-6067.686	2.985095	0.00634208	0.0613569	0.003866	0.0374019	-5.06055	-2.79105	-0.4949863	0.001739388	0.00392995	0.00288117	0.00173939	0.00173939	0.003929947	0.002881173	0.391118	0.497027	0.0512108	0.0606446	0.0655508	0.0849669	0.099124	0.128485	-2.72493	-2.46549	0.4135471
390	-6067.578	-6064.064	-3.513896	0.00239949	0.0222794	0.000315892	0.00293308	-6.0325	-3.80409	-2.02761	0.00144279	0.00378927	0.00587332	0.00144279	0.00144279	0.003789275	0.005873321	0.328148	0.216191	0.347607	0.108054	0.0687201	0.0690135	0.111896	0.112374	-2.67771	-2.67345	0.4875275
400	-6063.886	-6065.501	1.615718	0.00487738	0.0443791	0.00182954	0.0166469	-5.32315	-3.11499	-0.9805416	0.001729035	0.00298376	0.00449938	0.00172904	0.00172904	0.002983761	0.004499383	0.639541	0.0832584	0.0916657	0.185535	0.0708747	0.0962843	0.0958773	0.130251	-2.64684	-2.34045	0.3021565
410	-6066.024	-6067.919	1.894782	0.00540464	0.0808748	0.00194311	0.0290766	-5.2205	-2.51485	-1.022968	0.0006305425	0.00322345	0.00523565	0.000630542	0.000630542	0.003223447	0.005235654	0.42356	0.0174305	0.4313	0.127709	0.0710256	0.108692	0.0960082	0.146924	-2.64472	-2.21924	0.3013939
420	-6069.454	-6064.318	-5.136047	0.000156215	0.0168883	0.00022315	0.0241246	-8.76428	-4.08114	0.3566105	0.002120186	0.00478302	0.00424786	0.00212019	0.00212019	0.004783025	0.00424786	0.476125	0.000398256	0.174675	0.348801	0.065037	0.0788854	0.100829	0.122299	-2.7328	-2.53976	0.4384743
