Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_10	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
120	22.2944	0	22.2944	0.116828	0.264676	0.0993642	0.0664218	0.150481	0.0564932	-2.14706	-1.32925	-2.30896	-0.5646726	0.001114585	0.000813189	0.000308423	0	0	3.56941e-05	0.000443224	0.00111458	0.00111458	0.0008131894	0.0003084233	3.569406e-05	0.0004432238	0.196345	0.0916763	0.204442	0.126929	0.0738784	0.306729	5.48316	0.00364089	0.0127219	6.42658	0.00426733	0.0149107	1.70168	-5.61553	-4.36443	0.1587598
130	17.50526	0	17.50526	55.2343	4.36402	0.0938765	81.7598	6.45978	0.138959	4.01158	1.47339	-2.36578	0.3922016	0.0002273554	0.000810324	9.85215e-05	0	0	0.00031782	0.00136151	0.000227355	0.000227355	0.0008103243	9.852146e-05	0.0003178197	0.001361508	0.133333	0.00488814	0.183572	0.0669955	0.253408	0.357803	0.478395	0.0234619	0.0457912	0.702549	0.0344551	0.0672468	-0.737318	-3.75238	-3.08366	0.3842786
140	21.49234	0	21.49234	0.0142595	0.00284736	0.0037259	0.0368035	0.00734898	0.00961647	-4.25033	-5.86136	-5.59245	0.9481682	0.000233632	0.000676285	0.000298548	0	0	5.24831e-05	0.00125826	0.000233632	0.000233632	0.0006762851	0.0002985477	5.248311e-05	0.001258257	0.202146	0.00198045	0.267672	0.189209	0.0329623	0.306031	0.0128161	0.366859	2.60862	0.0170749	0.488768	3.47548	-4.35706	-1.00278	0.958822	0.2869116
150	23.12448	0	23.12448	0.00239559	0.123083	0.0142131	0.000901299	0.0463078	0.00534743	-6.03413	-2.0949	-4.25359	-0.9775462	0.0005029434	0.000835531	2.867e-05	0	0	0.000681647	0.000163591	0.000502943	0.000502943	0.0008355311	2.867005e-05	0.0006816466	0.0001635908	0.148482	0.0507092	0.0498017	0.209586	0.0232776	0.518143	2.21792	0.512173	0.150366	2.99176	0.690872	0.20283	0.796569	-0.669094	-1.89468	0.2992925
160	26.35115	0	26.35115	0.0357348	0.101514	0.489176	0.0357234	0.101482	0.489021	-3.33163	-2.28756	-0.715033	-0.0003178906	5.57228e-05	0.000608805	0.000368433	0	0	0.000382956	0.000567088	5.57228e-05	5.57228e-05	0.0006088046	0.0003684329	0.0003829562	0.0005670882	0.406318	0.0100441	0.168069	0.182922	0.137743	0.0949037	0.00863695	0.77332	0.0625597	0.00902646	0.808194	0.0653809	-4.75171	-0.257063	-2.77163	0.04410978
170	20.59837	0	20.59837	0.0021689	0.0115857	1.19487	0.00356631	0.0190504	1.96471	-6.13353	-4.45798	0.178035	0.4973124	0.0001344635	0.000230075	0.000472189	0	0	0.000376075	0.000605225	0.000134463	0.000134463	0.0002300754	0.0004721894	0.0003760746	0.0006052248	0.208672	0.0442101	0.332837	0.23672	0.0222808	0.155281	0.000736972	0.0102178	0.196792	0.00504042	0.0698831	1.34593	-7.21296	-4.58363	-1.62561	1.922694
180	20.72339	0	20.72339	0.112779	0.335755	1.64827	0.120409	0.358471	1.75978	-2.18232	-1.09137	0.499725	0.06546563	7.849783e-05	0.00125393	0.000134306	0	0	0.00132944	0.000109203	7.84978e-05	7.84978e-05	0.001253934	0.000134306	0.001329437	0.0001092034	0.286137	0.10994	0.0491351	0.208	0.0223238	0.324464	0.966368	0.0366075	1.92242	4.55932	0.172714	9.06995	-0.0342109	-3.3075	0.653583	1.551384
190	20.92959	0	20.92959	0.815185	0.445309	0.00323361	0.977522	0.533989	0.00387756	-0.204341	-0.808987	-5.73416	0.1816067	0.0009981312	0.000564863	0.00121909	0	0	5.97146e-05	0.000363159	0.000998131	0.000998131	0.0005648629	0.001219088	5.971457e-05	0.000363159	0.232295	0.0371177	0.2044	0.385343	0.0170079	0.123837	0.065093	0.0154479	0.984205	0.224301	0.0532311	3.39142	-2.73194	-4.17028	-0.0159215	1.237171
200	21.24549	0	21.24549	4.3394	0.0602152	0.0101121	13.0867	0.181596	0.0304961	1.46774	-2.80983	-4.59402	1.103862	0.0003322375	0.000677343	0.000656786	0	0	0.000212531	0.000246613	0.000332237	0.000332237	0.000677343	0.0006567861	0.000212531	0.0002466135	0.0499506	0.099998	0.488299	0.229697	0.0290683	0.102987	0.68548	0.049259	0.479758	6.51494	0.468168	4.55972	-0.377637	-3.01066	-0.734473	2.251735
210	24.80893	0	24.80893	0.197864	0.0355196	0.095981	0.159579	0.0286469	0.0774096	-1.62018	-3.33767	-2.34361	-0.2150394	0.0009104403	4.32985e-05	0.000238537	0	0	2.38272e-05	0.00173064	0.00091044	0.00091044	4.329848e-05	0.0002385367	2.382723e-05	0.001730641	0.10623	0.162213	0.525441	0.0838593	0.0133389	0.108918	0.216806	0.0120072	0.0431474	0.426296	0.0236092	0.0848387	-1.52875	-4.42225	-3.14313	0.6761306
220	24.95471	0	24.95471	0.258614	2.0785	0.0750895	0.230476	1.85235	0.0669194	-1.35242	0.731648	-2.58907	-0.1151922	0.0003299432	0.00114882	0.00039719	0	0	0.000201834	0.000120909	0.000329943	0.000329943	0.00114882	0.0003971898	0.000201834	0.0001209091	0.0300002	0.625127	0.116591	0.117716	0.0142458	0.0963203	0.21724	0.323549	0.492413	0.233263	0.347413	0.528731	-1.52675	-1.1284	-0.708438	0.07116293
230	25.90126	0	25.90126	0.0950955	0.245653	0.0159385	0.0161142	0.0416265	0.00270082	-2.35287	-1.40383	-4.13902	-1.775183	6.760223e-05	0.000118212	0.000119358	0	0	0.000185917	9.56331e-05	6.76022e-05	6.76022e-05	0.0001182121	0.0001193577	0.0001859167	9.563311e-05	0.00223568	0.187376	0.357291	0.0116333	0.252101	0.189363	0.0029489	0.323762	1.89931	0.00359499	0.394697	2.31544	-5.82632	-1.12775	0.64149	0.1981097
