Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta	hidden_rate	Q[1]	Q[2]	R[1]	R[2]	rate_01	rate_10	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta
0	-6069.513	-6068.608	-0.9046571	0.0144875	0.0800036	0.00816688	0.0450996	-4.23447	-2.52568	-0.5731985	0.001295831	0.00557211	0.00509516	0.00129583	0.00129583	0.005572111	0.005095156	0.0480373	0.134029	0.67154	0.146394	0.0754681	0.116517	0.0924635	0.142756	-2.58405	-2.14972	0.2031037
10	-6067.882	-6062.859	-5.022535	0.0019363	0.0350279	0.000360459	0.00652075	-6.24697	-3.35161	-1.681157	0.001734848	0.00526531	0.00580789	0.00173485	0.00173485	0.005265315	0.005807889	0.13841	0.723881	0.119688	0.0180209	0.0706059	0.0800258	0.0957225	0.108493	-2.65064	-2.52541	0.3043393
20	-6070.388	-6070.59	0.202385	0.000240265	0.0292288	0.000197163	0.0239853	-8.33377	-3.5326	-0.1977122	0.0002626397	0.00287348	0.00449768	0.00026264	0.00026264	0.002873475	0.004497685	0.348137	0.201701	0.410536	0.0396265	0.0772754	0.0979573	0.168047	0.213023	-2.56038	-2.32322	0.7768686
30	-6068.136	-6070.731	2.594585	0.00189168	0.0339332	0.00112673	0.0202114	-6.27029	-3.38336	-0.5181463	0.002541002	0.0032546	0.00226095	0.002541	0.002541	0.003254596	0.002260948	0.127028	0.532903	0.24711	0.0929602	0.0717792	0.0839399	0.0991909	0.115995	-2.63416	-2.47765	0.3234506
40	-6063.614	-6065.63	2.016038	0.00747677	0.0532257	0.00658996	0.0469127	-4.89595	-2.93321	-0.1262525	0.0008893615	0.00379156	0.00478016	0.000889361	0.000889361	0.003791562	0.004780157	0.560088	0.246601	0.104521	0.08879	0.0733693	0.109301	0.107078	0.159518	-2.61225	-2.21365	0.3780514
50	-6067.513	-6069.912	2.399732	0.00472139	0.0350639	0.00569403	0.0422873	-5.35565	-3.35058	0.1873149	0.001140751	0.00336576	0.00422133	0.00114075	0.00114075	0.003365757	0.004221332	0.216195	0.181021	0.202462	0.400322	0.0639639	0.0915942	0.109758	0.15717	-2.74944	-2.39039	0.5399617
60	-6070.827	-6069.468	-1.358948	0.00220417	0.016678	0.0034935	0.0264338	-6.1174	-4.09366	0.4605523	0.001856081	0.00456052	0.00428709	0.00185608	0.00185608	0.00456052	0.00428709	0.270108	0.20219	0.454879	0.0728233	0.0745671	0.09571	0.14235	0.182713	-2.59606	-2.34643	0.6465915
70	-6066.267	-6067.878	1.610607	0.00998799	0.0176537	0.01696	0.0299767	-4.60637	-4.03681	0.5294738	0.0003671392	0.00303188	0.00612557	0.000367139	0.000367139	0.003031885	0.00612557	0.606848	0.0665134	0.153952	0.172687	0.0736456	0.0907153	0.111275	0.137066	-2.60849	-2.40003	0.4127393
80	-6065.248	-6067.149	1.900853	0.00182793	0.0316458	0.000479568	0.00830246	-6.30457	-3.45315	-1.338054	0.001091355	0.00405997	0.00280921	0.00109136	0.00109136	0.004059971	0.002809206	0.603716	0.176626	0.164836	0.0548227	0.0736836	0.085819	0.102942	0.119896	-2.60798	-2.45552	0.3343823
90	-6068.232	-6063.011	-5.221029	0.00532627	0.0503478	0.0034236	0.0323624	-5.2351	-2.9888	-0.4419597	0.00374327	0.00400792	0.00685431	0.00374327	0.00374327	0.004007923	0.00685431	0.24814	0.536563	0.121756	0.0935404	0.0734656	0.0899708	0.105949	0.129752	-2.61094	-2.40827	0.3661371
100	-6071.706	-6064.972	-6.733783	0.00123882	0.0176579	0.000256618	0.00365777	-6.69359	-4.03657	-1.574327	0.003862116	0.0041183	0.0056314	0.00386212	0.00386212	0.004118303	0.005631397	0.170318	0.74762	0.070107	0.0119548	0.0652431	0.0625732	0.0945041	0.0906368	-2.72964	-2.77142	0.3705234
110	-6065.938	-6066.199	0.2608356	0.0026226	0.031347	0.000784914	0.0093818	-5.94359	-3.46264	-1.206348	0.00080966	0.00341594	0.00524904	0.00080966	0.00080966	0.00341594	0.005249041	0.239489	0.330041	0.388847	0.0416232	0.0649551	0.0851292	0.100701	0.131977	-2.73406	-2.46359	0.4384585
120	-6070.285	-6072.597	2.312221	0.00626861	0.0215158	0.0033563	0.0115199	-5.0722	-3.83897	-0.6247171	0.001107694	0.0031752	0.0047353	0.00110769	0.00110769	0.003175203	0.004735298	0.578912	0.0840425	0.327718	0.00932736	0.0816558	0.0939392	0.0928821	0.106854	-2.50524	-2.36511	0.128819
130	-6068.032	-6063.099	-4.932904	0.000637236	0.0224443	0.000479721	0.0168964	-7.35837	-3.79672	-0.283935	0.001702575	0.00445427	0.00640854	0.00170257	0.00170257	0.004454266	0.006408544	0.198458	0.122126	0.236852	0.442564	0.0669906	0.0737064	0.110904	0.122022	-2.7032	-2.60767	0.5041143
140	-6073.335	-6061.138	-12.19708	0.00288084	0.00123608	0.06428	0.0275806	-5.84968	-6.69581	3.105169	0.001709624	0.00259284	0.00953947	0.00170962	0.00170962	0.002592844	0.009539472	0.680942	0.194537	0.111683	0.0128389	0.0676262	0.0704566	0.143464	0.149469	-2.69376	-2.65276	0.7520896
150	-6068.071	-6069.565	1.494434	0.00861532	0.0156772	0.0294903	0.0536631	-4.75421	-4.15555	1.230519	0.001091599	0.00436061	0.00359876	0.0010916	0.0010916	0.00436061	0.003598764	0.634891	0.0597752	0.192251	0.113083	0.077321	0.0861713	0.116276	0.129585	-2.55979	-2.45142	0.4079991
160	-6065.253	-6063.676	-1.577012	0.00300405	0.0229526	0.0032369	0.0247318	-5.8078	-3.77432	0.07465589	0.002292307	0.00424082	0.00485192	0.00229231	0.00229231	0.004240816	0.004851923	0.271689	0.191672	0.294119	0.242519	0.0661816	0.078766	0.103774	0.123507	-2.71535	-2.54127	0.4498152
170	-6067.284	-6062.4	-4.883964	0.00172959	0.0332543	0.00155063	0.0298134	-6.35987	-3.40357	-0.1092252	0.001249008	0.00483274	0.00741192	0.00124901	0.00124901	0.004832735	0.007411918	0.498328	0.191118	0.202767	0.107787	0.0691487	0.0810516	0.116639	0.136716	-2.6715	-2.51267	0.5228201
180	-6070.27	-6070.738	0.468263	0.0103171	0.00221999	0.0211539	0.0045518	-4.57395	-6.11025	0.7180189	0.0006840387	0.00325178	0.00521217	0.000684039	0.000684039	0.003251776	0.005212167	0.1073	0.561394	0.108599	0.222708	0.0742709	0.0816611	0.124078	0.136424	-2.60004	-2.50518	0.5131883
