Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta	hidden_rate	Q[1]	Q[2]	R[1]	R[2]	rate_01	rate_10	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta
170	-6358.001	-6354.477	-3.523507	5.71411e-05	0.0412496	7.14035e-05	0.0515455	-9.76999	-3.18811	0.2228226	0.001819245	0.00341644	0.00163193	0.00181924	0.00181924	0.003416437	0.001631926	0.705709	0.00260597	0.08239	0.209295	0.0401893	0.0730226	0.0684619	0.124393	-3.21415	-2.61699	0.5326757
180	-6356.154	-6359.871	3.716609	0.00199927	0.0814157	0.00270331	0.110086	-6.21497	-2.50819	0.3016919	0.0003835698	0.00316087	0.00210386	0.00038357	0.00038357	0.003160866	0.002103865	0.0366175	0.254023	0.497105	0.212254	0.0494941	0.123357	0.0748996	0.186677	-3.0059	-2.09267	0.4142958
190	-6354.029	-6347.332	-6.696302	0.000227517	0.074079	0.00036559	0.119035	-8.38829	-2.60262	0.4742878	0.00199933	0.00174791	0.00576386	0.00199933	0.00199933	0.001747912	0.005763865	0.00125167	0.609787	0.0628614	0.3261	0.04092	0.100498	0.0614909	0.15102	-3.19614	-2.29761	0.4072688
200	-6359.394	-6358.771	-0.6236367	0.001704	0.0399018	0.00105687	0.0247481	-6.37477	-3.22133	-0.4776727	0.0004989735	0.00128077	0.00585476	0.000498974	0.000498974	0.001280771	0.005854764	0.0812322	0.587715	0.0965292	0.234523	0.0491063	0.0687684	0.0823003	0.115253	-3.01377	-2.67701	0.5163868
210	-6356.528	-6353.663	-2.864723	0.000299292	0.00941688	4.65871e-05	0.00146581	-8.11409	-4.66525	-1.860097	0.0008072843	0.00250079	0.00344211	0.000807284	0.000807284	0.00250079	0.003442107	0.22506	0.304233	0.368226	0.102481	0.046426	0.056026	0.0806068	0.0972747	-3.0699	-2.88194	0.551724
220	-6353.453	-6349.863	-3.589743	0.000272214	0.0459	0.000360249	0.0607443	-8.20892	-3.08129	0.2802088	0.00246794	0.0033194	0.00237552	0.00246794	0.00246794	0.003319402	0.002375519	0.433788	0.0796733	0.00590757	0.480631	0.0415197	0.0763373	0.0612312	0.112578	-3.18159	-2.57259	0.3884889
230	-6352.212	-6355.431	3.21931	0.00359817	0.01666	0.000848377	0.0039281	-5.62733	-4.09475	-1.444855	0.0006426078	0.00270861	0.00219261	0.000642608	0.000642608	0.00270861	0.002192608	0.667221	0.217719	0.0276487	0.0874109	0.0471052	0.0577528	0.0716961	0.0879021	-3.05537	-2.85158	0.4200519
240	-6351.202	-6356.305	5.103146	0.00391341	0.0212662	0.00722772	0.0392767	-5.54335	-3.85064	0.6135147	0.0003031923	0.00212217	0.00266598	0.000303192	0.000303192	0.002122174	0.00266598	0.391255	0.0603488	0.261258	0.287138	0.0494909	0.0649081	0.0780807	0.102404	-3.00597	-2.73478	0.4559545
250	-6358.076	-6363.799	5.722492	0.00201756	0.0516896	0.00130622	0.0334652	-6.20586	-2.9625	-0.4347507	0.0001875994	0.00282175	0.00170513	0.000187599	0.000187599	0.002821748	0.001705128	0.194272	0.037063	0.085216	0.683449	0.0435498	0.0531574	0.0596078	0.072758	-3.13385	-2.9345	0.3138812
260	-6353.462	-6355.201	1.739271	0.00149412	0.0384275	0.000468241	0.0120428	-6.50622	-3.25898	-1.160311	0.0009471612	0.00315975	0.00202683	0.000947161	0.000947161	0.003159755	0.002026833	0.397673	0.31924	0.193444	0.0896424	0.0436866	0.0618772	0.0738519	0.104603	-3.13071	-2.7826	0.5250216
