Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta	hidden_rate	Q[1]	Q[2]	R[1]	R[2]	rate_01	rate_10	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta
0	-6357.034	-6359.999	2.965034	0.00274768	0.00564416	0.00120069	0.0024664	-5.897	-5.17713	-0.8278612	0.0004348241	0.00151297	0.003612	0.000434824	0.000434824	0.001512972	0.003612003	0.471881	0.104848	0.330932	0.0923388	0.0522003	0.055202	0.0982407	0.10389	-2.95267	-2.89676	0.6323315
10	-6351.645	-6352.369	0.7236669	0.000870825	0.0285392	0.000655819	0.0214929	-7.04607	-3.55648	-0.2835562	0.001016677	0.0022218	0.00327854	0.00101668	0.00101668	0.002221798	0.003278544	0.401783	0.100364	0.484008	0.0138441	0.0457073	0.0724924	0.101661	0.161236	-3.0855	-2.62427	0.7993877
20	-6351.353	-6351.726	0.3729488	0.00031922	0.0382296	0.000143589	0.0171961	-8.04963	-3.26415	-0.7989275	0.0003354337	0.00243436	0.00326342	0.000335434	0.000335434	0.00243436	0.003263417	0.539897	0.222939	0.162048	0.0751164	0.0480436	0.0852677	0.0966257	0.171491	-3.03565	-2.46196	0.6987359
30	-6350.763	-6357.371	6.608215	0.00435528	0.0572212	0.00384493	0.050516	-5.43637	-2.86083	-0.1246342	0.000235078	0.00275951	0.00141571	0.000235078	0.000235078	0.002759506	0.001415708	0.809746	0.0145436	0.0651967	0.110514	0.0478918	0.0947292	0.0990621	0.195943	-3.03881	-2.35673	0.7268023
40	-6350.132	-6352.019	1.887208	0.00405735	0.0428955	0.00571007	0.0603685	-5.50723	-3.14899	0.3417002	0.0003749506	0.00261556	0.00387068	0.000374951	0.000374951	0.002615563	0.00387068	0.316555	0.329351	0.101567	0.252528	0.0490874	0.0799222	0.0687832	0.11199	-3.01415	-2.5267	0.3373574
50	-6356.204	-6357.224	1.019406	0.00664745	0.0632694	0.0102763	0.0978078	-5.01352	-2.76035	0.4356021	0.00203236	0.00280411	0.00257733	0.00203236	0.00203236	0.002804114	0.002577327	0.352536	0.108202	0.38124	0.158021	0.0487731	0.0819707	0.0705421	0.118557	-3.02058	-2.50139	0.3690311
60	-6351.956	-6353.526	1.569947	0.000466154	0.0624183	0.000300328	0.0402142	-7.671	-2.7739	-0.439639	0.0007818841	0.00340791	0.00177427	0.000781884	0.000781884	0.003407905	0.001774271	0.223887	0.100624	0.0696144	0.605875	0.044645	0.0797314	0.0654028	0.116803	-3.10901	-2.52909	0.381822
70	-6356.55	-6355.569	-0.980878	0.00687473	0.0248943	0.00995482	0.0360477	-4.9799	-3.69312	0.3702046	0.00112855	0.00338377	0.00378217	0.00112855	0.00112855	0.003383771	0.003782172	0.0439911	0.145305	0.55081	0.259894	0.049848	0.0698909	0.0830527	0.116447	-2.99878	-2.66082	0.5104971
80	-6351.936	-6352.25	0.3133393	0.000776601	0.0340317	0.00027948	0.0122472	-7.16058	-3.38046	-1.021995	0.0005625725	0.0018586	0.00404251	0.000562572	0.000562572	0.001858596	0.004042509	0.661956	0.132581	0.181753	0.0237109	0.0445503	0.0748652	0.0934104	0.156973	-3.11114	-2.59207	0.7403847
90	-6354.873	-6351.835	-3.037988	0.000211953	0.0510022	9.66285e-05	0.0232516	-8.45914	-2.97589	-0.7854923	0.0008721317	0.00303779	0.00361828	0.000872132	0.000872132	0.003037791	0.003618279	0.372418	0.0969024	0.189383	0.341296	0.0454996	0.0806019	0.0771604	0.136689	-3.09005	-2.51823	0.5281832
