Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
100	-6271.185	-6275.262	4.077609	0.0024222	0.0272662	0.0234425	0.000902052	0.0101542	0.00873022	-6.02308	-3.60211	-3.7532	-0.9877608	0.0007236105	0.00631071	0.000113397	0.00580607	0.0103177	0.00131551	0.00334928	0.000723611	0.000723611	0.006310708	0.005806069	0.0001133974	0.001315507	0.0103177	0.003349276	0.0845283	0.284142	0.00562161	0.0735632	0.0233328	0.528812	0.0778078	0.0849564	0.12577	0.101077	0.110364	0.163384	-2.55351	-2.46562	-2.0733	0.2616442
110	-6274.355	-6267.533	-6.822423	0.000502292	0.0312171	0.102648	0.000168831	0.0104927	0.0345022	-7.59633	-3.46679	-2.27645	-1.090285	0.0005438724	0.00621943	0.000298074	0.0120811	0.00619736	0.000140559	0.00944215	0.000543872	0.000543872	0.006219428	0.01208113	0.0002980735	0.0001405594	0.006197363	0.009442152	0.016356	0.068835	0.0815487	0.106532	0.173385	0.553344	0.0692114	0.0728639	0.123234	0.0829198	0.0872957	0.147643	-2.67059	-2.61916	-2.09367	0.1807082
120	-6266.092	-6262.224	-3.868373	0.00118719	0.0334267	0.0630997	0.000578188	0.0162796	0.030731	-6.73617	-3.3984	-2.76304	-0.7194454	0.002844518	0.0081413	8.2919e-05	0.00831673	0.0100047	0.00040216	0.00389352	0.00284452	0.00284452	0.008141299	0.008316726	8.291904e-05	0.0004021603	0.01000467	0.003893516	0.196101	0.112993	0.147538	0.0474832	0.295674	0.20021	0.0703083	0.0722747	0.101571	0.0921248	0.0947013	0.133088	-2.65487	-2.62728	-2.287	0.2702545
130	-6267.151	-6269.848	2.697354	0.00773451	0.0634261	0.0451324	0.00406278	0.0333165	0.0237072	-4.86206	-2.75788	-3.09815	-0.6438236	0.0008867752	0.00865404	0.000359833	0.00597726	0.00884741	0.000522992	0.00490854	0.000886775	0.000886775	0.008654039	0.005977257	0.000359833	0.0005229917	0.00884741	0.004908543	0.124775	0.229869	0.120168	0.0647865	0.405804	0.0545966	0.0775794	0.077368	0.106717	0.0976745	0.0974083	0.13436	-2.55645	-2.55918	-2.23757	0.2303381
140	-6265.285	-6271.597	6.311519	0.00241435	0.0447134	0.0684414	0.00114578	0.0212197	0.0324804	-6.02632	-3.10748	-2.68178	-0.7453424	0.001758894	0.00823407	5.44213e-05	0.00483034	0.00524384	0.000200817	0.00637947	0.00175889	0.00175889	0.008234066	0.004830336	5.442126e-05	0.0002008169	0.005243842	0.006379465	0.189295	0.0964732	0.581578	0.0892563	0.0225714	0.0208263	0.0725125	0.0818941	0.110597	0.0952855	0.107613	0.145331	-2.624	-2.50233	-2.20186	0.2731187
150	-6270.847	-6280.966	10.11983	0.003075	0.0276385	0.0371216	0.00178229	0.0160195	0.021516	-5.78445	-3.58855	-3.29356	-0.5454033	0.0001737275	0.00762895	0.000238522	0.00509691	0.00504445	0.00117317	0.00388679	0.000173727	0.000173727	0.00762895	0.005096909	0.000238522	0.001173171	0.005044454	0.003886785	0.336686	0.242672	0.115918	0.231754	0.0164873	0.0564827	0.0768037	0.0880181	0.136893	0.26111	0.299235	0.465397	-2.5665	-2.43021	-1.98855	1.223688
160	-6271.645	-6280.439	8.794742	0.0117734	0.0122439	0.0038527	0.0700345	0.072833	0.0229179	-4.44191	-4.40273	-5.55898	1.783144	0.0007709495	0.00491311	0.000248821	0.00652034	0.00627067	0.000115567	0.00414318	0.00077095	0.00077095	0.004913106	0.006520344	0.0002488205	0.0001155671	0.006270673	0.004143185	0.177298	0.0792466	0.1449	0.269066	0.00187039	0.32762	0.0813379	0.0782719	0.094521	0.190934	0.183737	0.221881	-2.50914	-2.54757	-2.35893	0.8533185
170	-6267.997	-6270.65	2.652338	0.0040049	0.0211993	0.0236793	0.00554278	0.0293399	0.0327722	-5.52024	-3.85379	-3.74315	0.3249767	0.0005301942	0.0079979	0.000355505	0.00613339	0.00925828	0.000836599	0.00430453	0.000530194	0.000530194	0.007997903	0.006133393	0.0003555047	0.0008365988	0.009258285	0.004304532	0.355319	0.252206	0.269112	0.0955657	0.025637	0.00215944	0.0658072	0.0665634	0.102311	0.103885	0.105079	0.161512	-2.72103	-2.7096	-2.27973	0.4565567
180	-6267.062	-6267.545	0.4824106	0.000592752	0.041333	0.101241	0.000121641	0.00848209	0.0207761	-7.43073	-3.18609	-2.29025	-1.583705	0.002276527	0.00893649	0.000605713	0.00570637	0.00693115	0.000361063	0.00430453	0.00227653	0.00227653	0.008936491	0.005706369	0.0006057125	0.0003610634	0.006931152	0.004304532	0.227289	0.132449	0.305216	0.238857	0.0692935	0.026895	0.0712403	0.0697431	0.128933	0.0958771	0.0938621	0.173522	-2.6417	-2.66294	-2.04846	0.297008
190	-6265.168	-6278.674	13.50622	0.0116878	0.076515	0.0694163	0.00415693	0.0272136	0.0246889	-4.44921	-2.57027	-2.66763	-1.033769	0.0007930925	0.0077168	4.20949e-05	0.00452017	0.00584998	0.000516615	0.00270498	0.000793092	0.000793092	0.007716802	0.004520167	4.209487e-05	0.0005166149	0.005849983	0.002704984	0.19117	0.134241	0.0482048	0.349028	0.101255	0.176102	0.0787993	0.0860145	0.13371	0.0949934	0.103691	0.161189	-2.54085	-2.45324	-2.01208	0.186903
