Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
100	-6550.038	-6551.161	1.123096	0.00173137	0.0158955	0.0694073	0.00221374	0.0203241	0.0887445	-6.35884	-4.14172	-2.66776	0.2457697	0.0007298508	0.00395076	6.21718e-05	0.00676086	0.0063681	0.000350923	0.00332249	0.000729851	0.000729851	0.003950765	0.006760857	6.217184e-05	0.0003509233	0.006368097	0.003322486	0.523674	0.0169901	0.206909	0.14405	0.0381871	0.07019	0.0432869	0.0439557	0.099112	0.0672568	0.0682959	0.153995	-3.13991	-3.12457	-2.3115	0.440668
110	-6553.073	-6559.951	6.878034	0.00578873	0.0485067	0.0601831	0.0074408	0.0623502	0.077359	-5.15184	-3.02605	-2.81036	0.2510649	0.0006192501	0.00311882	8.83684e-05	0.00674633	0.00467945	0.000164057	0.00387664	0.00061925	0.00061925	0.003118818	0.006746333	8.836841e-05	0.0001640568	0.004679447	0.003876641	0.0997339	0.176166	0.0121809	0.198618	0.2891	0.224202	0.0470555	0.0758308	0.0964673	0.0741199	0.119445	0.151951	-3.05643	-2.57925	-2.33855	0.4543556
120	-6555.138	-6557.758	2.620152	0.00172125	0.0294549	0.0269627	0.000856021	0.0146487	0.0134093	-6.36471	-3.5249	-3.6133	-0.698509	0.001174166	0.00410564	6.53812e-06	0.00421144	0.00554321	2.29675e-05	0.00571344	0.00117417	0.00117417	0.00410564	0.004211441	6.538124e-06	2.296749e-05	0.005543215	0.005713435	0.175113	0.210877	0.125008	0.171617	0.0703471	0.247038	0.0453592	0.0588457	0.0750953	0.0682869	0.0885905	0.113054	-3.09314	-2.83284	-2.589	0.4091058
130	-6556.166	-6563.716	7.549467	0.00122028	0.00755022	0.0470003	0.000667521	0.00413015	0.0257102	-6.70868	-4.88618	-3.0576	-0.6032639	0.0002105729	0.00376675	0.000257038	0.00684443	0.00373163	0.000419346	0.00283065	0.000210573	0.000210573	0.003766752	0.006844429	0.0002570383	0.0004193463	0.003731633	0.002830645	0.0476623	0.231174	0.266882	0.204231	0.235885	0.0141662	0.0448427	0.0436577	0.0842759	0.062128	0.0604862	0.116761	-3.1046	-3.13138	-2.47366	0.3260361
140	-6553.418	-6563.64	10.22164	0.000740767	0.0171327	0.0282534	0.000410445	0.00949292	0.0156547	-7.20782	-4.06676	-3.56654	-0.5904449	0.000729515	0.0046205	0.00017605	0.00338763	0.00566194	0.000448938	0.00156148	0.000729515	0.000729515	0.004620498	0.003387627	0.0001760498	0.0004489377	0.005661936	0.001561477	0.437898	0.0806677	0.0391292	0.000490909	0.160133	0.281681	0.0408649	0.0451831	0.0809432	0.0626066	0.0692222	0.124008	-3.19748	-3.09703	-2.51401	0.426599
150	-6557.602	-6563.25	5.647852	0.00228309	0.00304159	0.00679652	0.000440026	0.000586215	0.00130991	-6.08223	-5.79537	-4.99134	-1.646449	0.0002001539	0.00347474	6.6952e-05	0.00564448	0.00562691	0.000167824	0.00284183	0.000200154	0.000200154	0.003474737	0.005644485	6.695198e-05	0.0001678242	0.005626912	0.002841831	0.598521	0.0535144	0.0296564	0.000146227	0.0544001	0.263761	0.0461176	0.0463267	0.0616194	0.0767688	0.0771169	0.102573	-3.07656	-3.07204	-2.78678	0.5096033
160	-6556.492	-6562.229	5.736336	0.00143581	0.00364852	0.041238	0.000929921	0.00236301	0.0267082	-6.54602	-5.61343	-3.1884	-0.4343873	0.002338508	0.00524897	4.36197e-05	0.00322969	0.0053627	0.000173541	0.00234923	0.00233851	0.00233851	0.005248971	0.003229691	4.361974e-05	0.0001735408	0.005362696	0.002349227	0.318163	0.30168	0.230213	0.000193615	0.134634	0.0151159	0.0430148	0.033073	0.0734949	0.0696348	0.0535405	0.118978	-3.14621	-3.40904	-2.61054	0.4817207
170	-6554.535	-6561.566	7.03157	0.000584515	0.0163303	0.0271417	0.000223015	0.00623063	0.0103556	-7.44473	-4.11473	-3.60668	-0.9635445	0.001372083	0.00385645	0.000158566	0.00357195	0.00418503	0.000620001	0.00415109	0.00137208	0.00137208	0.003856447	0.003571953	0.0001585656	0.0006200013	0.004185032	0.004151094	0.447011	0.0643881	0.154464	0.190368	0.104472	0.0392967	0.0459042	0.0466359	0.0804497	0.0638396	0.0648572	0.111883	-3.0812	-3.06538	-2.52012	0.3298179
180	-6555.452	-6557.871	2.41882	0.00625972	0.0183819	0.0103838	0.0109713	0.0322177	0.0181996	-5.07362	-3.99639	-4.56751	0.5611499	0.001249398	0.00552812	0.000112171	0.00482231	0.00577891	0.000388714	0.00324014	0.0012494	0.0012494	0.005528125	0.00482231	0.0001121707	0.0003887141	0.005778906	0.003240138	0.290262	0.155694	0.184962	0.261797	0.0498494	0.0574347	0.0458829	0.0521264	0.0644208	0.0768805	0.0873421	0.107942	-3.08166	-2.95408	-2.74232	0.5161604
190	-6555.1	-6562.223	7.123798	0.00153972	0.0437344	0.049042	0.00228766	0.0649787	0.0728644	-6.47615	-3.12962	-3.01508	0.3959237	0.000802504	0.00571698	8.65009e-05	0.00434195	0.00392175	0.000334085	0.00345882	0.000802504	0.000802504	0.005716979	0.004341947	8.650087e-05	0.0003340847	0.003921746	0.003458822	0.325294	0.358876	0.0809263	0.0997048	0.0524297	0.082769	0.0422697	0.0762437	0.105957	0.0627334	0.113155	0.157253	-3.16368	-2.57382	-2.24472	0.3948233
