Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_10	rate_12	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
0	18.23611	0	18.23611	0.00108331	0.0245749	8.37968	0.000187292	0.00424873	1.44876	-6.82774	-3.70603	2.12581	-1.755105	0.001138776	0.000206735	0.000142969	0	0	2.30327e-05	0.00100853	0.00113878	0.00113878	0.0002067355	0.0001429694	2.303273e-05	0.001008531	0.0791991	0.0205523	0.254865	0.546091	0.0199452	0.0793472	0.00241192	0.0133474	0.0081307	0.00247243	0.0136823	0.0083347	-6.02733	-4.31643	-4.81211	0.02478061
10	20.82283	0	20.82283	0.0445159	0.0684046	0.00748874	0.067104	0.103114	0.0112887	-3.11191	-2.68232	-4.89435	0.4103987	0.0007031763	0.00163085	6.36267e-05	0	0	0.00129515	0.000417347	0.000703176	0.000703176	0.001630851	6.362668e-05	0.001295154	0.0004173471	0.0645854	0.170614	0.0885288	0.203396	0.0889824	0.383894	0.00460382	0.0155086	0.0187521	0.013747	0.0463087	0.0559938	-5.38087	-4.16636	-3.97645	1.093938
20	27.21717	0	27.21717	0.0613861	0.0517451	0.0454516	0.0837722	0.0706153	0.0620267	-2.79057	-2.96143	-3.09111	0.3109173	0.0003890347	0.000125269	0.000145561	0	0	5.89292e-05	0.00018681	0.000389035	0.000389035	0.0001252686	0.000145561	5.892924e-05	0.0001868105	0.171107	0.299662	0.0894192	0.172471	0.06642	0.20092	0.0274764	0.0174597	0.0183724	0.396784	0.252133	0.265314	-3.59443	-4.04786	-3.99691	2.670065
30	22.90973	0	22.90973	0.251012	0.23599	0.197065	0.438368	0.412134	0.344155	-1.38225	-1.44396	-1.62422	0.5575574	0.0006767127	0.000550455	0.000435089	0	0	0.00108575	0.0002526	0.000676713	0.000676713	0.0005504549	0.0004350887	0.001085753	0.0002526001	0.0525605	0.138414	0.112544	0.409976	0.106322	0.180183	0.00378944	0.0188074	0.674235	0.00712045	0.0353395	1.26691	-5.57554	-3.97351	-0.394176	0.6307532
40	22.03336	0	22.03336	1.37459	1.54749	0.298507	1.49451	1.6825	0.324549	0.318159	0.436636	-1.20896	0.08364211	0.0003438778	0.000111329	0.000452184	0	0	0.000357014	0.000526677	0.000343878	0.000343878	0.0001113292	0.0004521838	0.0003570138	0.0005266774	0.0399536	0.498954	0.268538	0.108558	0.0537967	0.0301999	0.102813	0.00448609	0.208573	1.68099	0.0733474	3.41016	-2.27484	-5.40677	-1.56747	2.794224
50	22.22843	0	22.22843	0.0211627	0.124737	0.103234	0.0162738	0.0959209	0.0793854	-3.85552	-2.08155	-2.27076	-0.2626852	0.0007541702	0.000522266	0.000263451	0	0	0.00125734	1.07786e-05	0.00075417	0.00075417	0.0005222665	0.0002634513	0.001257341	1.077857e-05	0.19626	0.0226936	0.483121	0.257623	0.0268159	0.0134872	0.0168357	0.00336896	0.00621508	0.133994	0.0268134	0.0494655	-4.08425	-5.69315	-5.08078	2.074295
60	26.37483	0	26.37483	0.337241	2.35775	0.00833481	0.218263	1.52594	0.00539431	-1.08696	0.85771	-4.78732	-0.4350963	5.201238e-05	2.65008e-05	0.000209119	0	0	0.000284394	0.000493053	5.20124e-05	5.20124e-05	2.650077e-05	0.0002091192	0.0002843937	0.0004930531	0.143816	0.309207	0.164742	0.116544	0.152945	0.112746	0.945935	0.0726782	0.227639	1.01583	0.0780483	0.244459	-0.0555812	-2.62171	-1.47999	0.07128642
70	22.10805	0	22.10805	0.197244	0.179957	5.31142	0.0533322	0.0486582	1.43614	-1.62332	-1.71504	1.66986	-1.3079	5.987206e-05	0.000299781	0.000961209	0	0	0.00105047	7.6589e-05	5.98721e-05	5.98721e-05	0.0002997814	0.0009612093	0.001050474	7.658903e-05	0.16637	0.332582	0.193609	0.0717013	0.072985	0.162753	0.148746	0.0919265	0.00215966	0.160357	0.0991021	0.00232824	-1.90551	-2.38677	-6.1378	0.07516058
80	23.77136	0	23.77136	8.072	0.0131248	0.116675	21.8237	0.0354847	0.315447	2.0884	-4.33325	-2.14836	0.9945975	0.0002632094	4.082e-05	0.000594607	0	0	0.000276352	4.27157e-05	0.000263209	0.000263209	4.081999e-05	0.0005946067	0.0002763516	4.271574e-05	0.294533	0.226356	0.120415	0.173979	0.161668	0.0230496	0.534221	0.00538111	0.147778	1.26105	0.0127023	0.348836	-0.626946	-5.22486	-1.91204	0.8588926
90	19.74549	0	19.74549	0.000386537	0.0861981	0.110731	7.0429e-05	0.0157057	0.0201757	-7.85828	-2.45111	-2.20065	-1.702623	0.0002547189	0.000301676	0.000262673	0	0	0.000114118	0.00171236	0.000254719	0.000254719	0.0003016758	0.0002626726	0.0001141175	0.001712362	0.0414589	0.0388932	0.0681817	0.115753	0.685535	0.0501789	0.0225137	0.281983	0.00751153	0.0914422	1.14531	0.030509	-3.79363	-1.26591	-4.89132	1.401582
100	24.84054	0	24.84054	6.58864	0.550146	0.0103378	19.8601	1.6583	0.0311612	1.88535	-0.597572	-4.57195	1.103367	4.812552e-06	0.000652831	0.00016396	0	0	7.75853e-05	0.000123784	4.81255e-06	4.81255e-06	0.0006528307	0.0001639601	7.758525e-05	0.0001237843	0.243254	0.0291179	0.175376	0.168499	0.293289	0.0904644	0.0553277	0.0555537	0.0136409	0.121892	0.12239	0.0300521	-2.89448	-2.89041	-4.29468	0.7898608
110	26.08066	0	26.08066	0.00824274	0.0317252	0.0285641	0.00781415	0.0300756	0.0270789	-4.79842	-3.45064	-3.5556	-0.05339636	0.0004357677	8.6415e-05	0.000212513	0	0	9.41813e-05	0.00155702	0.000435768	0.000435768	8.641501e-05	0.0002125126	9.418127e-05	0.001557017	0.0476234	0.270327	0.0499907	0.208948	0.295713	0.127398	0.121184	0.229173	0.208783	0.156019	0.29505	0.268799	-2.11045	-1.47328	-1.56646	0.2526697
120	27.92473	0	27.92473	0.00388072	0.0694828	0.0102982	0.00204801	0.0366688	0.00543475	-5.55173	-2.66668	-4.57579	-0.6391523	8.60684e-05	4.065e-05	1.53903e-05	0	0	0.000230012	0.000590416	8.60684e-05	8.60684e-05	4.065005e-05	1.539028e-05	0.0002300118	0.0005904162	0.0270701	0.152759	0.320381	0.0415387	0.238121	0.22013	0.222273	0.215829	0.0325319	0.322358	0.313013	0.0471804	-1.50385	-1.53327	-3.42553	0.3717563
130	24.00958	0	24.00958	0.0969095	0.0103622	0.0107461	0.0433991	0.00464053	0.00481244	-2.33398	-4.56959	-4.53321	-0.8033384	0.0001655075	0.000739462	0.00076468	0	0	0.000514253	3.63164e-06	0.000165507	0.000165507	0.0007394622	0.0007646797	0.0005142529	3.63164e-06	0.19009	0.144386	0.0409935	0.0525608	0.315695	0.256274	0.897303	0.00195061	0.0771773	1.17199	0.00254774	0.100803	-0.108362	-6.23961	-2.56165	0.2670664
140	25.27854	0	25.27854	0.0426643	0.0394	0.628121	0.356614	0.329329	5.25021	-3.15439	-3.23399	-0.465022	2.12329	0.0007618035	6.47667e-05	6.89916e-05	0	0	0.000121426	0.000480736	0.000761803	0.000761803	6.476672e-05	6.89916e-05	0.0001214261	0.0004807361	0.253953	0.0133338	0.028949	0.0667455	0.456042	0.180977	0.0482872	0.0113191	0.208238	0.0760396	0.0178247	0.327919	-3.03059	-4.48126	-1.56908	0.4540876
150	24.96654	0	24.96654	0.433107	0.023066	0.0085161	1.43401	0.076371	0.0281966	-0.83677	-3.76939	-4.7658	1.197242	0.0001859709	0.000701523	0.000212491	0	0	1.53007e-05	0.000213355	0.000185971	0.000185971	0.0007015227	0.0002124915	1.530071e-05	0.0002133547	0.149143	0.0181109	0.154605	0.0679595	0.420676	0.189506	0.23156	0.00542923	0.783632	0.669631	0.0157004	2.26613	-1.46292	-5.21596	-0.243816	1.061887
160	20.86579	0	20.86579	0.0107804	0.00137541	0.541496	0.00863377	0.00110153	0.433672	-4.53003	-6.58901	-0.61342	-0.2220459	0.0005221057	0.000295338	0.00127542	0	0	0.00110979	0.000215364	0.000522106	0.000522106	0.0002953381	0.001275424	0.001109794	0.0002153639	0.0697691	0.0463099	0.152531	0.198783	0.36959	0.163017	0.191722	0.105143	0.00243466	0.211679	0.116087	0.00268809	-1.65171	-2.25244	-6.01795	0.09902193
170	25.5022	0	25.5022	0.15067	0.249044	0.0447414	0.0771503	0.127522	0.0229097	-1.89266	-1.39013	-3.10686	-0.6693382	0.0001180602	0.000544825	0.000167187	0	0	0.000669318	0.000275657	0.00011806	0.00011806	0.0005448248	0.0001671868	0.0006693176	0.0002756568	0.141958	0.0445679	0.245488	0.00716449	0.0706683	0.490153	0.0382163	0.142153	0.00132875	0.0713201	0.26529	0.00247975	-3.26449	-1.95085	-6.62352	0.6239177
180	19.36209	0	19.36209	0.0156691	0.0258603	0.0777633	0.0180486	0.0297875	0.0895725	-4.15607	-3.65504	-2.55409	0.1413793	0.0004517561	0.000379879	0.000535205	0	0	0.00271168	0.000411768	0.000451756	0.000451756	0.0003798786	0.0005352045	0.002711685	0.0004117684	0.138593	0.0787536	0.38454	0.00417585	0.133178	0.260759	1.99435	0.955356	0.0348858	5.27753	2.52811	0.0923164	0.690317	-0.0456708	-3.35567	0.9731415
190	23.86693	0	23.86693	0.127322	0.0721531	0.569421	0.0543821	0.0308182	0.243212	-2.06103	-2.62896	-0.563136	-0.8506868	0.001104411	0.000235528	0.000152879	0	0	0.0005148	0.0012333	0.00110441	0.00110441	0.0002355279	0.0001528787	0.0005148005	0.001233305	0.100604	0.0868871	0.610609	0.00663081	0.180471	0.014798	0.00915332	0.0974513	0.107411	0.0120296	0.128074	0.141163	-4.69364	-2.3284	-2.23109	0.2732518
200	25.17002	0	25.17002	0.174537	0.0024911	0.0113332	1.11746	0.0159491	0.0725601	-1.74562	-5.99503	-4.48002	1.85668	0.0002729278	4.57623e-05	0.00038306	0	0	5.88399e-05	0.000490635	0.000272928	0.000272928	4.576226e-05	0.0003830601	5.883986e-05	0.0004906347	0.144025	0.54272	0.0309186	0.0329807	0.232982	0.0163736	0.0147587	0.0739384	0.00589476	0.0154517	0.0774102	0.00617156	-4.21592	-2.60452	-5.13369	0.04588724
210	27.11612	0	27.11612	0.00828002	0.45709	0.0379056	0.00365086	0.201542	0.0167135	-4.79391	-0.782875	-3.27266	-0.8188817	0.0002047307	0.000390331	0.000142395	0	0	0.000373237	5.22696e-05	0.000204731	0.000204731	0.0003903308	0.0001423948	0.0003732368	5.226957e-05	0.105298	0.247	0.292273	0.0344839	0.0878995	0.233045	0.313882	0.0597456	0.461947	0.594352	0.113132	0.87472	-1.15874	-2.81766	-0.772306	0.6384551
220	22.72892	0	22.72892	0.00838679	0.00534557	13.643	0.00493077	0.00314277	8.02103	-4.7811	-5.23149	2.61323	-0.5311632	0.0002746944	0.000261483	0.000569865	0	0	0.000343187	0.000236176	0.000274694	0.000274694	0.0002614831	0.0005698645	0.0003431866	0.0002361763	0.10815	0.145614	0.392601	0.0226964	0.073655	0.257283	0.227289	0.247041	0.0556756	0.451538	0.490777	0.110606	-1.48153	-1.3982	-2.88821	0.6864347
230	25.30584	0	25.30584	1.58412	0.197896	0.0350778	0.261764	0.032701	0.00579636	0.460027	-1.62001	-3.35019	-1.800339	0.000111862	0.000212195	9.77981e-05	0	0	0.000622682	0.000541778	0.000111862	0.000111862	0.0002121953	9.779814e-05	0.000622682	0.0005417782	0.0503069	0.321855	0.205733	0.0212105	0.0265138	0.374381	0.0891428	0.46752	0.0834919	0.102551	0.537842	0.0960504	-2.41752	-0.760313	-2.48301	0.1401231
240	23.15163	0	23.15163	0.0618469	0.00227227	0.222464	0.0663161	0.00243648	0.23854	-2.78309	-6.08697	-1.50299	0.0697715	0.000466706	3.33822e-05	0.00130777	0	0	0.000153211	0.000937511	0.000466706	0.000466706	3.33822e-05	0.00130777	0.0001532111	0.0009375112	0.0172569	0.0953473	0.16643	0.197825	0.288465	0.234676	1.60427	0.0371212	0.119305	2.08643	0.0482778	0.155162	0.472672	-3.29357	-2.12607	0.2627826
250	24.04207	0	24.04207	0.0375728	0.519403	0.0942524	0.0883118	1.22082	0.221533	-3.28148	-0.655074	-2.36178	0.8545948	0.0003504069	6.85267e-05	0.000664207	0	0	0.000495053	0.000232891	0.000350407	0.000350407	6.852669e-05	0.0006642072	0.0004950528	0.0002328907	0.36379	0.051218	0.0251598	0.143851	0.389418	0.0265638	0.00337256	0.213849	0.001466	0.00581646	0.368814	0.00252833	-5.69208	-1.54248	-6.52522	0.5450205
260	26.42961	0	26.42961	0.0107069	0.711625	0.109655	0.0342453	2.27608	0.350724	-4.53686	-0.340204	-2.21041	1.162657	4.29075e-05	0.0001012	0.000116919	0	0	0.000237672	0.000234362	4.29075e-05	4.29075e-05	0.0001011999	0.0001169189	0.0002376715	0.000234362	0.0105016	0.222884	0.0528006	0.320502	0.244943	0.148369	0.0174957	0.104005	2.61826	0.0314658	0.187051	4.70891	-4.0458	-2.26332	0.962511	0.5869458
270	18.74495	0	18.74495	0.0278998	0.188322	0.15369	0.0163556	0.1104	0.090097	-3.57913	-1.6696	-1.87282	-0.534048	0.0005535892	0.000291516	0.000146821	0	0	4.44757e-05	0.00318482	0.000553589	0.000553589	0.0002915164	0.0001468206	4.447572e-05	0.003184821	0.00254964	0.149374	0.0890465	0.236831	0.128286	0.393913	0.0258319	1.11416	0.000808586	0.067065	2.89259	0.00209926	-3.65614	0.108101	-7.12022	0.9540514
280	24.02558	0	24.02558	0.0486248	0.599134	0.0478793	0.0297272	0.366286	0.0292714	-3.02362	-0.512269	-3.03907	-0.4920706	0.0004441041	0.000257864	0.00047871	0	0	0.00054753	0.000281125	0.000444104	0.000444104	0.0002578638	0.0004787102	0.0005475298	0.0002811247	0.00187948	0.160156	0.0522308	0.0473342	0.272199	0.4662	4.97974	0.208103	0.0128136	8.63794	0.360979	0.0222267	1.60538	-1.56972	-4.35725	0.5507872
290	23.21285	0	23.21285	0.728713	0.507903	0.196321	0.727203	0.506851	0.195914	-0.316476	-0.677466	-1.628	-0.002073101	0.0001721221	0.000762766	5.30821e-05	0	0	0.00081374	0.000263996	0.000172122	0.000172122	0.0007627664	5.308211e-05	0.0008137404	0.0002639956	0.00555972	0.238771	0.112527	0.138276	0.289652	0.215214	0.0372285	0.196214	0.106966	0.935347	4.92978	2.68746	-3.29068	-1.62855	-2.23525	3.223844
300	20.04044	0	20.04044	0.162596	3.85137	0.00883814	0.0561264	1.32945	0.00305083	-1.81649	1.34843	-4.72868	-1.063663	8.441467e-05	0.000918138	0.000155987	0	0	0.000112723	0.00127338	8.44147e-05	8.44147e-05	0.0009181378	0.0001559871	0.0001127233	0.001273377	0.0508351	0.0950825	0.0732509	0.440569	0.290702	0.0495606	0.0503983	0.0247782	0.0365077	1.93464	0.951164	1.40143	-2.9878	-3.69779	-3.31023	3.647721
310	26.87065	0	26.87065	1.89881	0.0971003	0.324339	2.36524	0.120952	0.404011	0.641226	-2.33201	-1.12597	0.2196519	0.0002814483	0.000307542	0.000159126	0	0	4.98851e-05	0.000309131	0.000281448	0.000281448	0.0003075419	0.0001591257	4.988512e-05	0.0003091308	0.199313	0.0829425	0.16557	0.0584899	0.00969095	0.483994	0.00892819	0.0662537	0.0356693	0.0206608	0.153318	0.0825427	-4.71854	-2.71426	-3.33346	0.8390246
320	27.46837	0	27.46837	0.00623376	0.655633	0.0070939	0.00789622	0.830482	0.00898574	-5.07778	-0.422154	-4.94852	0.2364045	0.0002394244	0.00029375	0.00038218	0	0	1.22154e-05	8.72626e-05	0.000239424	0.000239424	0.0002937497	0.0003821802	1.221541e-05	8.726258e-05	0.0747232	0.350484	0.195406	0.0374307	0.00352341	0.338433	0.0965017	0.0841655	0.263517	0.158602	0.138327	0.433092	-2.33819	-2.47497	-1.33364	0.496834
330	22.51392	0	22.51392	7.0789	1.2086	0.198136	2.28633	0.390351	0.0639935	1.95712	0.189461	-1.6188	-1.130171	0.001165512	0.000147941	0.000673725	0	0	0.000285656	0.000105941	0.00116551	0.00116551	0.0001479411	0.0006737245	0.0002856562	0.000105941	0.0236727	0.0685261	0.00585242	0.300964	0.413069	0.187916	0.171446	0.0304987	0.104928	0.185777	0.0330481	0.113699	-1.76349	-3.49007	-2.25448	0.0802813
340	7.904594	0	7.904594	1.85483	25.4674	0.0400709	2.91182	39.9801	0.0629054	0.617795	3.2374	-3.21711	0.4509826	0.002892245	0.00074888	0.00150876	0	0	4.86927e-05	0.000773318	0.00289225	0.00289225	0.00074888	0.001508763	4.869269e-05	0.0007733184	0.0911254	0.0206052	0.0786468	0.056078	0.299903	0.453642	0.761854	0.015525	9.88512	5.65736	0.115285	73.4047	-0.272	-4.16531	2.29103	2.004957
350	26.75775	0	26.75775	0.0873098	0.0854622	0.288601	0.0815408	0.0798153	0.269531	-2.43829	-2.45968	-1.24271	-0.06835902	0.0006554171	0.000170055	3.49467e-05	0	0	0.000761416	0.000448756	0.000655417	0.000655417	0.0001700548	3.494673e-05	0.0007614163	0.0004487561	0.388646	0.122522	0.155967	0.133481	0.147449	0.0519356	0.128546	0.389223	0.0233792	0.195779	0.592795	0.0356072	-2.05147	-0.943604	-3.75591	0.4206977
360	23.07201	0	23.07201	0.023319	0.00488635	2.729	0.0168162	0.00352372	1.96798	-3.75849	-5.32131	1.00393	-0.3269276	0.0002460387	0.000318181	0.000130126	0	0	0.000993303	0.000581722	0.000246039	0.000246039	0.0003181813	0.0001301264	0.0009933032	0.0005817217	0.0828211	0.0222004	0.112386	0.145556	0.623151	0.0138852	0.0544135	0.376732	0.77742	0.105347	0.729369	1.50512	-2.91114	-0.976222	-0.251774	0.6606458
370	21.96821	0	21.96821	0.186692	0.42729	0.00193783	0.166871	0.381926	0.0017321	-1.6783	-0.850292	-6.24619	-0.1122361	0.0001960903	0.000246565	4.10346e-06	0	0	0.00283507	8.40293e-05	0.00019609	0.00019609	0.0002465651	4.10346e-06	0.002835071	8.402934e-05	0.432373	0.043607	0.283625	0.0315183	0.195456	0.013421	0.0615959	0.0141269	0.0225919	0.152674	0.0350156	0.0559971	-2.78716	-4.25967	-3.79016	0.9077084
380	20.91784	0	20.91784	0.435373	0.00569795	0.397058	0.324818	0.00425106	0.296233	-0.831553	-5.16765	-0.923672	-0.2929385	0.001043228	0.000704224	0.000334386	0	0	0.000876284	0.000444772	0.00104323	0.00104323	0.0007042238	0.0003343861	0.0008762836	0.0004447719	0.109013	0.0564604	0.0826945	0.258562	0.40271	0.0905602	0.839235	0.139907	2.0933	1.21935	0.203275	3.04142	-0.175264	-1.96678	0.738743	0.3735797
390	22.81187	0	22.81187	0.0562933	0.483412	0.00703745	0.036377	0.312383	0.00454764	-2.87718	-0.726886	-4.95651	-0.436638	0.0002147173	0.00082194	0.000243973	0	0	0.000803536	0.000424022	0.000214717	0.000214717	0.0008219398	0.0002439734	0.0008035361	0.0004240218	0.0916324	0.0407432	0.551767	0.190051	0.118041	0.00776537	0.00190738	0.541051	0.005048	0.00239673	0.679861	0.00634309	-6.26202	-0.614241	-5.28876	0.2283745
400	26.13592	0	26.13592	0.0690918	0.0128445	0.0447084	0.0238334	0.00443074	0.0154222	-2.67232	-4.35484	-3.10759	-1.06435	0.0002409205	0.000444896	2.53841e-05	0	0	0.000314925	0.00138862	0.000240921	0.000240921	0.0004448962	2.538414e-05	0.0003149255	0.001388622	0.0725636	0.133631	0.0745379	0.306643	0.387155	0.0254691	0.029532	0.0504074	0.0326637	0.0356572	0.0608622	0.0394384	-3.52228	-2.98762	-3.42149	0.1884745
410	23.0758	0	23.0758	0.106374	0.00430566	0.202829	0.133559	0.00540603	0.254664	-2.2408	-5.44782	-1.59539	0.2275849	0.00012505	0.00106591	7.51433e-06	0	0	0.00111454	0.00035627	0.00012505	0.00012505	0.001065909	7.514329e-06	0.001114543	0.00035627	0.15331	0.0438642	0.0339121	0.289839	0.130341	0.348734	0.528306	0.104352	0.0128955	2.99507	0.591592	0.0731074	-0.63808	-2.25999	-4.35087	1.735048
420	23.15044	0	23.15044	0.632175	0.867666	0.0415162	0.285529	0.391892	0.0187513	-0.458588	-0.141948	-3.18167	-0.7948219	0.0004878174	0.000212357	7.20651e-05	0	0	0.00129433	0.000558685	0.000487817	0.000487817	0.0002123575	7.206514e-05	0.001294328	0.0005586848	0.200902	0.4208	0.052378	0.112346	0.0838572	0.129716	0.00731955	1.04777	0.244202	0.00866724	1.24069	0.289165	-4.91721	0.0466685	-1.40976	0.169001
430	25.53393	0	25.53393	0.217106	0.0586922	0.00541435	0.476643	0.128855	0.0118869	-1.52737	-2.83545	-5.2187	0.7863825	4.373838e-05	4.09087e-05	0.000836466	0	0	0.000527874	0.000153571	4.37384e-05	4.37384e-05	4.090874e-05	0.0008364662	0.0005278739	0.0001535705	0.122633	0.0905142	0.0478133	0.0507671	0.211324	0.476948	0.121157	0.0454536	0.167101	0.949638	0.356268	1.30975	-2.11067	-3.09106	-1.78916	2.058992
440	22.68705	0	22.68705	0.0148136	0.00624755	0.0523614	0.0277292	0.0116946	0.0980138	-4.21221	-5.07557	-2.94959	0.626939	0.001352926	0.00116313	2.6579e-05	0	0	0.000486973	0.000329494	0.00135293	0.00135293	0.001163134	2.6579e-05	0.0004869727	0.000329494	0.271505	0.161774	0.0413889	0.0497655	0.328393	0.147174	0.0226955	0.043265	0.0211337	0.0828615	0.157961	0.0771593	-3.78559	-3.14041	-3.85689	1.295003
