Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
0	-6383.058	-6404.935	21.87743	0.00694689	0.00232127	0.0261659	0.0419205	0.0140075	0.157897	-4.96946	-6.06564	-3.6433	1.797481	0.00219477	0.00317944	9.57062e-07	0.0025859	0.00151934	0.000155467	0.00065222	0.00219477	0.00219477	0.003179436	0.002585899	9.570617e-07	0.0001554674	0.001519338	0.0006522196	0.246694	0.114694	0.270486	0.0128208	0.0536798	0.301626	0.0434625	0.0303137	0.12479	0.0961659	0.0670727	0.276113	-3.13586	-3.49615	-2.08112	0.7941758
10	-6380.67	-6404.437	23.76711	0.00433017	0.020864	0.0359945	0.00177891	0.00857129	0.0147872	-5.44215	-3.86973	-3.32439	-0.8896057	0.0005592005	0.00293787	2.82771e-05	0.00248064	0.00242159	0.000878945	0.00141488	0.000559201	0.000559201	0.002937873	0.002480642	2.827711e-05	0.0008789453	0.002421589	0.001414878	0.216225	0.195323	0.152617	0.00350015	0.187468	0.244868	0.0477727	0.048598	0.120536	0.0646797	0.0657971	0.163195	-3.0413	-3.02417	-2.1158	0.3029941
20	-6390.067	-6402.3	12.23315	0.00119635	0.00468282	0.000319024	0.00015417	0.000603462	4.11118e-05	-6.72848	-5.36386	-8.05024	-2.048971	0.001809534	0.0022959	1.16305e-05	0.0039824	0.00251368	0.000331675	0.00196805	0.00180953	0.00180953	0.002295898	0.003982397	1.163048e-05	0.0003316751	0.002513685	0.001968046	0.257208	0.0642589	0.300523	0.00255082	0.189003	0.186455	0.0412457	0.0449044	0.0935187	0.0624678	0.0680091	0.141637	-3.18821	-3.10322	-2.36959	0.415105
30	-6384.127	-6402.184	18.05779	0.000136827	0.0323618	0.0477974	4.73335e-05	0.0111951	0.0165348	-8.89679	-3.43078	-3.04078	-1.061501	0.0007743901	0.00537091	6.35881e-05	0.00279675	0.00220162	4.64397e-05	0.000357032	0.00077439	0.00077439	0.005370915	0.002796751	6.358814e-05	4.643974e-05	0.002201621	0.0003570323	0.690858	0.0527134	0.00751273	0.0208125	0.13439	0.0937133	0.0471369	0.0508471	0.0910747	0.0683535	0.0737337	0.132068	-3.0547	-2.97893	-2.39607	0.3716355
40	-6383.071	-6404.995	21.92415	0.000721263	0.024501	0.0384743	0.000455196	0.0154628	0.0242815	-7.23451	-3.70904	-3.25776	-0.4602759	0.0006247286	0.00521517	5.23647e-05	0.00255392	0.00187975	6.63301e-05	0.000575117	0.000624729	0.000624729	0.005215174	0.002553919	5.236468e-05	6.63301e-05	0.001879745	0.0005751174	0.470556	0.0446473	0.0928125	0.287264	0.0647318	0.0399884	0.0444388	0.0409857	0.109541	0.0640543	0.0590769	0.157892	-3.11364	-3.19453	-2.21146	0.3656165
50	-6381.761	-6400.693	18.93128	0.0070289	0.0174788	0.0559711	0.0128149	0.0318669	0.102045	-4.95772	-4.04677	-2.88292	0.6005813	0.001123024	0.0026952	6.93794e-06	0.00603536	0.00164837	0.000301171	0.00140422	0.00112302	0.00112302	0.002695197	0.006035358	6.937943e-06	0.0003011706	0.001648366	0.00140422	0.22854	0.144785	0.0217286	0.21871	0.0958294	0.290407	0.0453597	0.0501151	0.148623	0.0751057	0.0829796	0.246087	-3.09313	-2.99343	-1.90634	0.5042719
60	-6384.603	-6405.975	21.37107	0.000421383	0.0229242	0.0342899	0.00020797	0.0113141	0.0169235	-7.77197	-3.77556	-3.3729	-0.7061467	0.0002983283	0.00432276	6.51722e-05	0.00197656	0.00233121	8.58975e-05	0.00168444	0.000298328	0.000298328	0.004322755	0.001976559	6.517223e-05	8.589752e-05	0.002331214	0.001684444	0.149754	0.479825	0.0336739	0.04483	0.239221	0.0526961	0.0409472	0.0430261	0.120806	0.0675067	0.0709339	0.199164	-3.19547	-3.14595	-2.11357	0.4999417
70	-6386.296	-6404.532	18.23625	0.00178934	0.017604	0.062127	0.000156892	0.00154355	0.00544739	-6.32591	-4.03963	-2.77857	-2.434044	0.001421891	0.00380536	0.000150055	0.00243472	0.00162867	0.000572247	0.00173265	0.00142189	0.00142189	0.003805361	0.002434718	0.0001500553	0.0005722472	0.001628666	0.001732649	0.14796	0.251514	0.0137819	0.0346147	0.0868612	0.465268	0.0437771	0.043388	0.14733	0.0664919	0.0659009	0.223775	-3.12864	-3.13757	-1.91508	0.4179687
80	-6383.726	-6412.45	28.72412	0.00231667	0.0316208	0.00818889	0.00187722	0.0256227	0.00663554	-6.06762	-3.45394	-4.80498	-0.2103392	0.0006018653	0.00308401	2.60078e-07	0.00181786	0.00153883	0.000482614	0.000566855	0.000601865	0.000601865	0.003084015	0.001817859	2.600783e-07	0.0004826141	0.001538826	0.0005668549	0.123096	0.388089	0.330463	0.0337442	0.026311	0.0982976	0.0482895	0.0519441	0.0931247	0.0628359	0.0675913	0.121177	-3.03054	-2.95759	-2.37382	0.2633122
90	-6382.969	-6400.525	17.55557	0.00621161	0.0532972	0.056916	0.00374726	0.0321524	0.0343355	-5.08134	-2.93187	-2.86618	-0.5053964	0.000871019	0.00420532	6.85548e-05	0.00364272	0.00215535	0.000312641	0.0028965	0.000871019	0.000871019	0.004205318	0.003642717	6.855479e-05	0.000312641	0.002155353	0.002896503	0.246677	0.324464	0.12761	0.150567	0.115303	0.0353786	0.0505664	0.0706281	0.113717	0.0627974	0.0877115	0.141223	-2.98447	-2.65033	-2.17404	0.2166258
100	-6380.594	-6402.755	22.161	0.00124561	0.0430577	0.0690189	0.000666517	0.0230398	0.0369314	-6.68813	-3.14521	-2.67338	-0.6253186	0.001382245	0.0038538	8.02364e-05	0.00381129	0.00143501	3.63419e-05	0.000526658	0.00138224	0.00138224	0.003853803	0.003811293	8.02364e-05	3.634186e-05	0.001435008	0.0005266576	0.287692	0.235918	0.203459	0.15724	0.0888123	0.026878	0.0419881	0.0571437	0.123065	0.0640271	0.0871377	0.18766	-3.17037	-2.86219	-2.09504	0.4219203
110	-6387.062	-6409.381	22.3195	0.00110177	0.00226289	0.00961387	0.00181928	0.00373656	0.0158747	-6.81084	-6.09111	-4.64455	0.5015209	0.002327605	0.0024803	1.09822e-06	0.00328184	0.00191292	7.4257e-05	0.000125223	0.0023276	0.0023276	0.002480303	0.003281843	1.098216e-06	7.425697e-05	0.001912925	0.0001252226	0.304505	0.218957	0.0344237	0.143613	0.242927	0.0555744	0.0433613	0.0522415	0.10706	0.0574993	0.0692749	0.141967	-3.13819	-2.95188	-2.23437	0.2822059
