Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
0	-6555.917	-6556.027	0.1097679	0.00140695	0.0271353	0.016744	0.00157237	0.0303257	0.0187127	-6.56633	-3.60692	-4.08971	0.111159	0.0008823389	0.00670265	0.000103139	0.00551099	0.00512764	0.000622797	0.00295475	0.000882339	0.000882339	0.006702655	0.005510994	0.0001031386	0.0006227974	0.005127635	0.002954751	0.280675	0.077878	0.333187	0.0238602	0.23039	0.0540107	0.0474312	0.0509373	0.0656262	0.0797192	0.0856121	0.1103	-3.04848	-2.97716	-2.72378	0.5192305
10	-6557.688	-6562.104	4.415998	0.000529882	0.0144957	0.070094	0.000522602	0.0142966	0.0691309	-7.54286	-4.2339	-2.65792	-0.01383504	0.0009045629	0.0025223	0.00041619	0.00782519	0.00446859	0.000398759	0.00289079	0.000904563	0.000904563	0.002522304	0.007825189	0.0004161901	0.0003987589	0.004468587	0.002890785	0.24512	0.146761	0.0217823	0.0366806	0.350188	0.199468	0.0447696	0.0511504	0.107203	0.056522	0.0645779	0.135345	-3.10623	-2.97298	-2.23303	0.2331014
20	-6553.233	-6562.237	9.003798	0.00308059	0.0266639	0.0191506	0.00276066	0.0238947	0.0171618	-5.78263	-3.62445	-3.95542	-0.1096514	0.0008533928	0.00440771	0.000103521	0.00335323	0.00414218	0.000646663	0.00444738	0.000853393	0.000853393	0.004407714	0.00335323	0.0001035208	0.0006466626	0.004142175	0.004447381	0.0689655	0.484461	0.138935	0.216405	0.0379074	0.0533272	0.0463046	0.0513717	0.0772955	0.0691859	0.076757	0.115491	-3.07251	-2.96867	-2.56012	0.4015564
30	-6554.215	-6554.646	0.4309433	0.00470928	0.0224437	0.0720599	0.0038137	0.0181755	0.058356	-5.35822	-3.79674	-2.63026	-0.2109356	0.0008273637	0.00613305	0.000252031	0.00601324	0.00432361	0.00016709	0.00469211	0.000827364	0.000827364	0.006133054	0.006013237	0.0002520314	0.0001670904	0.004323606	0.004692111	0.22807	0.1869	0.0493727	0.339137	0.171037	0.0254837	0.047367	0.0511678	0.106346	0.0622007	0.0671918	0.139649	-3.04983	-2.97264	-2.24106	0.2724405
40	-6552.683	-6554.421	1.737824	0.00126543	0.0356193	0.0705621	0.00103514	0.0291372	0.0577211	-6.67234	-3.33487	-2.65126	-0.2008713	0.000580922	0.00517234	3.63641e-05	0.00508436	0.00686181	2.15363e-05	0.00328694	0.000580922	0.000580922	0.005172339	0.005084361	3.636409e-05	2.153628e-05	0.006861807	0.003286939	0.340425	0.337724	0.0337307	0.148564	0.13174	0.00781661	0.0450245	0.0721689	0.11989	0.0961959	0.15419	0.256147	-3.10055	-2.62875	-2.12118	0.7591795
50	-6555.399	-6562.134	6.734656	0.00322489	0.00865348	0.0493405	0.00279617	0.00750309	0.0427812	-5.73686	-4.74979	-3.00901	-0.1426467	0.0008881283	0.00355426	0.000129758	0.00556566	0.00467795	6.75002e-05	0.00390146	0.000888128	0.000888128	0.003554258	0.005565665	0.0001297584	6.75002e-05	0.004677952	0.003901458	0.142392	0.328235	0.27471	0.0510492	0.165841	0.0377735	0.0477791	0.0558107	0.111767	0.100651	0.11757	0.235447	-3.04117	-2.88579	-2.19134	0.7450664
60	-6555.106	-6561.246	6.140662	0.00317587	0.00966233	0.0869432	0.00367319	0.0111754	0.100558	-5.75217	-4.63952	-2.4425	0.1454792	0.001234434	0.00306495	2.85548e-05	0.00565528	0.0054407	0.000436764	0.00331863	0.00123443	0.00123443	0.003064952	0.005655278	2.855476e-05	0.0004367638	0.0054407	0.003318633	0.263071	0.161232	0.426258	0.0232524	0.0173597	0.108827	0.0452798	0.0416336	0.119145	0.0775027	0.0712616	0.203933	-3.09489	-3.17885	-2.12741	0.5374512
70	-6553.621	-6568.527	14.90517	0.00392117	0.0154762	0.0636129	0.00374717	0.0147894	0.0607902	-5.54137	-4.16845	-2.75494	-0.0453879	0.0007162368	0.00367173	0.000174755	0.00396478	0.00410853	0.000303884	0.00220287	0.000716237	0.000716237	0.003671731	0.003964778	0.0001747554	0.0003038842	0.004108533	0.002202872	0.163402	0.234286	0.155702	0.0315145	0.0677198	0.347377	0.0441179	0.0529695	0.102189	0.0675722	0.0811296	0.156516	-3.12089	-2.93804	-2.28093	0.4263312
80	-6553.449	-6553.052	-0.3967511	0.0031447	0.00624876	0.0529077	0.0059579	0.0118388	0.100238	-5.76204	-5.07537	-2.93921	0.6389998	0.001231045	0.00466726	2.84116e-05	0.00576422	0.00732537	0.00052004	0.00267516	0.00123104	0.00123104	0.004667259	0.005764218	2.841161e-05	0.0005200403	0.007325373	0.002675158	0.261462	0.175402	0.238494	0.0572279	0.100192	0.167223	0.042784	0.0384666	0.0859391	0.0689603	0.0620014	0.138519	-3.15159	-3.25797	-2.45412	0.4773678
90	-6551.009	-6554.87	3.860825	0.00232349	0.0227752	0.0753663	0.00222583	0.021818	0.0721986	-6.06468	-3.78208	-2.5854	-0.04293909	0.001099186	0.00471777	0.000476461	0.00559118	0.00620588	2.28865e-05	0.00232586	0.00109919	0.00109919	0.00471777	0.005591183	0.0004764612	2.288648e-05	0.006205876	0.002325857	0.445103	0.139379	0.0251718	0.219422	0.0967017	0.0742223	0.0458762	0.049024	0.0959163	0.0665196	0.0710839	0.139077	-3.08181	-3.01545	-2.34428	0.3715513
100	-6557.282	-6555.013	-2.26926	0.000101707	0.019737	0.0269104	8.31062e-05	0.0161274	0.0219889	-9.19342	-3.92526	-3.61524	-0.2019734	0.000865244	0.00523966	2.33278e-05	0.00819743	0.00522273	0.00024244	0.00173522	0.000865244	0.000865244	0.005239659	0.008197427	2.332776e-05	0.0002424402	0.005222734	0.001735223	0.359694	0.0361208	0.0187899	0.232232	0.0515242	0.301639	0.0449186	0.0448036	0.0757131	0.0616128	0.0614551	0.103852	-3.1029	-3.10547	-2.5808	0.3160181
110	-6555.929	-6561.278	5.348834	0.0001913	0.0299165	0.0423165	0.000100637	0.0157381	0.0222613	-8.56167	-3.50935	-3.16258	-0.6423276	0.0002795738	0.00405223	0.000269536	0.00686932	0.00457401	1.52256e-05	0.00216556	0.000279574	0.000279574	0.004052229	0.006869316	0.0002695359	1.522557e-05	0.004574013	0.002165557	0.1877	0.187158	0.036467	0.0443665	0.339633	0.204676	0.0436034	0.0536031	0.084797	0.0651542	0.0800963	0.126708	-3.13262	-2.92615	-2.4675	0.4016224
