Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta	hidden_rate	Q[1]	Q[2]	Q[3]	Q[4]	Q[5]	Q[6]	R[1]	R[2]	rate_01	rate_02	rate_10	rate_12	rate_20	rate_21	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta
100	-6379.574	-6403.056	23.48182	0.00196895	0.0271656	0.11358	0.00200834	0.0277091	0.115853	-6.23026	-3.6058	-2.17524	0.01981047	0.0007283087	0.00366238	6.2478e-05	0.00341558	0.00270912	3.49843e-05	0.000144011	0.000728309	0.000728309	0.003662378	0.00341558	6.247795e-05	3.498432e-05	0.002709121	0.0001440108	0.107213	0.130071	0.409916	0.0156257	0.0323889	0.304785	0.04655	0.0631149	0.137939	0.066312	0.0899093	0.196498	-3.06723	-2.7628	-1.98095	0.3538454
110	-6384.285	-6405.544	21.25971	0.00219344	0.00137713	0.0130625	0.000722732	0.00045376	0.00430405	-6.12228	-6.58775	-4.33801	-1.110189	0.0002891878	0.00267711	5.79222e-05	0.00444889	0.00221528	0.000167277	0.000754772	0.000289188	0.000289188	0.002677108	0.004448892	5.792222e-05	0.0001672771	0.002215283	0.0007547724	0.382614	0.25448	0.0445474	0.200355	0.0991472	0.0188557	0.048651	0.0409868	0.0998245	0.0687617	0.0579294	0.141089	-3.02308	-3.19451	-2.30434	0.3459744
120	-6388.119	-6409.899	21.78027	0.00468522	0.000199892	0.032194	0.00933281	0.000398178	0.0641294	-5.36334	-8.51773	-3.43597	0.6891224	0.001417046	0.00214302	0.000113895	0.00389576	0.00152624	0.000261797	0.00040589	0.00141705	0.00141705	0.002143024	0.003895761	0.0001138954	0.0002617972	0.001526235	0.0004058903	0.184352	0.183273	0.00166503	0.11114	0.470525	0.0490457	0.0465883	0.0391809	0.0771815	0.0732163	0.0615752	0.121295	-3.06641	-3.23957	-2.5616	0.4520696
130	-6388.761	-6404.495	15.73404	9.58863e-05	0.0172085	0.0276565	3.87801e-05	0.00695976	0.0111854	-9.25235	-4.06235	-3.58789	-0.9052565	0.001066775	0.00348803	0.000134422	0.00333343	0.00264634	0.000798638	0.000852539	0.00106678	0.00106678	0.00348803	0.003333433	0.0001344223	0.0007986385	0.002646342	0.000852539	0.219754	0.19038	0.0114173	0.102686	0.448292	0.0274712	0.0459817	0.0413249	0.119129	0.0795685	0.0715102	0.206145	-3.07951	-3.18629	-2.12755	0.5483734
140	-6389.146	-6407.331	18.18497	0.001014	0.000573795	0.0186025	0.000624391	0.000353327	0.0114549	-6.89385	-7.46324	-3.98446	-0.4848794	0.001321915	0.00193036	6.32515e-05	0.00322372	0.00238937	0.000953053	0.0016805	0.00132191	0.00132191	0.001930359	0.003223724	6.325155e-05	0.0009530531	0.002389373	0.001680501	0.427754	0.0541907	0.0334584	0.0355828	0.308967	0.140047	0.0446765	0.0429809	0.0797174	0.0703072	0.0676387	0.125451	-3.10831	-3.147	-2.52927	0.4534257
150	-6388.101	-6406.79	18.68891	0.00791835	0.00356001	0.00468583	0.0220018	0.00989177	0.01302	-4.83857	-5.63799	-5.36321	1.02194	0.001061355	0.00373539	0.000128969	0.00356892	0.00241255	0.000683609	0.000849635	0.00106135	0.00106135	0.003735392	0.003568925	0.0001289691	0.0006836095	0.00241255	0.000849635	0.208419	0.0552527	0.485999	0.0158121	0.0903453	0.144172	0.0515318	0.0394595	0.111317	0.0765926	0.0586494	0.165452	-2.96556	-3.23248	-2.19537	0.396301
160	-6387.664	-6400.637	12.97339	0.00589648	0.00756714	0.00744749	0.00947338	0.0121575	0.0119652	-5.1334	-4.88394	-4.89988	0.4741292	0.001028495	0.00260122	9.06775e-06	0.00878318	0.00125237	0.000751255	0.00127756	0.00102849	0.00102849	0.002601223	0.00878318	9.06775e-06	0.0007512547	0.001252367	0.00127756	0.511145	0.354671	0.029471	0.0015995	0.102592	0.000521919	0.0468122	0.0411355	0.0705697	0.0754017	0.066258	0.113668	-3.06161	-3.19088	-2.65115	0.4766851
170	-6380.134	-6404.926	24.79256	0.000914559	0.0120049	0.00994069	0.000366368	0.00480912	0.0039822	-6.99707	-4.42244	-4.61112	-0.914803	0.0005492131	0.00374995	9.60642e-05	0.00296019	0.00145151	0.000198996	0.00018782	0.000549213	0.000549213	0.003749955	0.002960191	9.606417e-05	0.0001989959	0.00145151	0.0001878196	0.672167	0.076533	0.0837369	0.0045447	0.162589	0.000429416	0.042891	0.0407513	0.0948454	0.0666862	0.0633594	0.147464	-3.14909	-3.20027	-2.35551	0.4413365
180	-6381.393	-6405.002	23.60861	0.0085592	0.00834812	0.042662	0.015494	0.0151119	0.0772275	-4.76075	-4.78572	-3.15445	0.5934462	0.000400248	0.00221296	5.15907e-05	0.00401181	0.00323438	0.000106127	0.000809344	0.000400248	0.000400248	0.002212959	0.004011811	5.159071e-05	0.000106127	0.003234381	0.0008093443	0.294432	0.322158	0.189987	0.0356509	0.157612	0.00016096	0.0466356	0.0450976	0.108968	0.0794819	0.0768606	0.185717	-3.06539	-3.09893	-2.2167	0.5331642
190	-6387.82	-6413.669	25.8486	0.00856091	0.00448823	0.0446111	0.0273572	0.0143426	0.142559	-4.76055	-5.4063	-3.10977	1.161774	0.0005865113	0.00214025	1.34403e-05	0.00210431	0.00125203	0.0002595	0.00292814	0.000586511	0.000586511	0.002140254	0.002104315	1.34403e-05	0.0002595002	0.001252029	0.002928138	0.206743	0.2297	0.0878678	0.30965	0.164668	0.00137081	0.0519725	0.0465221	0.166411	0.0871102	0.0779748	0.278919	-2.95704	-3.06783	-1.79329	0.5164587
