Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]
200	-5851.155	-5873.34	22.18505	8.06469e-05	8.0145e-05	8.01598e-05	7.98789e-05	7.95867e-05	7.95006e-05	7.9498e-05	8.08165e-05	8.08741e-05	8.09028e-05	8.08958e-05	8.09596e-05	8.12689e-05	8.07881e-05	8.08488e-05	8.15712e-05	8.14571e-05	8.05946e-05	8.06885e-05	8.06868e-05
210	-5865.894	-5872.002	6.108158	0.0108937	0.0108742	0.0111062	0.0111618	0.0110487	0.0108408	0.0107111	0.0106847	0.0106847	0.0106331	0.0105527	0.0105714	0.0106152	0.010603	0.010658	0.01069	0.010762	0.0107751	0.0107617	0.0107643
220	-5848.526	-5874.265	25.73912	5.12475e-05	5.13813e-05	5.16401e-05	5.30609e-05	5.34458e-05	5.52104e-05	5.52465e-05	5.50496e-05	5.4839e-05	5.48243e-05	5.43377e-05	5.40231e-05	5.43621e-05	5.44094e-05	5.4414e-05	5.44144e-05	5.45564e-05	5.54931e-05	5.60834e-05	5.59428e-05
230	-5901.442	-5870.902	-30.54039	0.000122419	0.000124303	0.000132647	0.000136092	0.000137573	0.000138846	0.000138252	0.000138193	0.000137946	0.000141011	0.000142591	0.000138257	0.000138794	0.000138401	0.00013841	0.000138437	0.000130038	0.000130706	0.000128885	0.000126226
240	-5870.27	-5871.045	0.7752298	5.4879e-05	5.45091e-05	5.43972e-05	5.75579e-05	5.7146e-05	5.75609e-05	5.76457e-05	5.75829e-05	5.74312e-05	5.58347e-05	5.06503e-05	5.15539e-05	5.15867e-05	5.09578e-05	5.55376e-05	5.57302e-05	5.55874e-05	5.69793e-05	5.41833e-05	5.47158e-05
250	-5846.163	-5868.026	21.86275	0.000111902	0.000111962	0.000111827	0.000114031	0.00011616	0.000121365	0.000121649	0.000121657	0.000121186	0.000121367	0.000121476	0.00012152	0.000121374	0.000121172	0.000121597	0.000121597	0.000121634	0.000121657	0.000121616	0.000123647
260	-5902.337	-5865.182	-37.15544	0.00299195	0.00300329	0.00288818	0.00288556	0.00298212	0.00297695	0.00297029	0.00318409	0.00318538	0.00326545	0.00344222	0.00317919	0.00316696	0.00316158	0.00298437	0.00299151	0.00300995	0.00300245	0.00300838	0.00304142
270	-5904.484	-5866.94	-37.54381	0.000113467	0.000107501	0.000115516	0.000122678	0.000123498	0.000123713	0.0001241	0.000124111	0.000122011	0.000188747	0.000188691	0.00018466	0.000183738	0.000191608	0.00015998	0.000160635	0.000160696	0.000152856	0.000164222	0.000166
280	-5887.511	-5867.684	-19.82665	0.00124884	0.00372842	0.00369475	0.00367151	0.00377769	0.00378453	0.0037805	0.00377658	0.00369407	0.00364626	0.00367873	0.00368147	0.00366547	0.00358754	0.00360224	0.00360088	0.00356042	0.00361315	0.00363399	0.00362117
290	-5881.549	-5868.429	-13.11954	0.000578719	0.000598832	0.000632806	0.000633008	0.000661273	0.000688344	0.00066485	0.000664835	0.000891588	0.000826813	0.000402486	0.000424345	0.000425194	0.000421067	0.000462762	0.000522354	0.000521268	0.000484844	0.000508016	0.000564669
300	-5843.462	-5870.675	27.21369	0.00238603	0.00237156	0.00238108	0.00234781	0.0023282	0.00200534	0.00200711	0.00200916	0.00202842	0.00202614	0.00202403	0.00202656	0.00205074	0.00204298	0.00204054	0.00204139	0.00203369	0.00202685	0.00201519	0.00200914
310	-5883.11	-5867.44	-15.67047	9.23623e-05	9.28881e-05	9.19633e-05	9.22451e-05	9.26776e-05	9.18769e-05	9.16916e-05	9.14427e-05	9.04097e-05	9.07475e-05	9.21999e-05	9.22238e-05	9.13411e-05	9.18967e-05	9.21564e-05	8.75174e-05	8.83249e-05	8.83342e-05	8.83077e-05	8.88429e-05
320	-5869.592	-5866.095	-3.497327	0.000232975	0.000239862	0.000231718	0.000228353	0.000226727	0.000225592	0.000226961	0.000225475	0.000223983	0.000224047	0.000164691	0.000144255	0.000144093	0.000142121	0.000148758	0.000149919	0.00015818	0.000164496	0.000164432	0.000164112
330	-5874.978	-5872.121	-2.856781	0.00129639	0.00130323	0.00130377	0.00130476	0.00130384	0.00131974	0.00134275	0.00134604	0.00134669	0.00134757	0.00134244	0.00135213	0.00133778	0.00134397	0.0013452	0.00134417	0.00133088	0.00133095	0.00133197	0.00131857
340	-5923.942	-5873.669	-50.27298	0.00357206	0.0036155	0.0035891	0.00368474	0.00365191	0.00361499	0.000589947	0.000590012	0.000587739	0.000583851	0.000585235	0.000634443	0.000656184	0.000654114	0.000780805	0.000784804	0.000793578	0.000791508	0.000788648	0.000797885
350	-5891.679	-5867.225	-24.45445	0.00016624	0.000165889	0.000169131	0.000171623	0.000171337	0.000175125	0.000135767	0.000136312	0.000135936	0.000126426	0.000155408	0.000171058	0.000172988	0.000171508	0.000170484	0.000157782	0.0001296	0.000132166	0.000129522	0.000129741
360	-5875.723	-5869.839	-5.883784	0.0075402	0.00745121	0.00743543	0.00746365	0.00743739	0.00700163	0.00705698	0.00705031	0.00697706	0.0071062	0.00714529	0.00723614	0.00705268	0.00700522	0.00691301	0.00720069	0.0071625	0.00697585	0.00699743	0.00701365
370	-5845.898	-5871.517	25.61882	9.71381e-05	9.75063e-05	9.86942e-05	9.86694e-05	9.87435e-05	9.78216e-05	9.7574e-05	9.75581e-05	9.7535e-05	9.7755e-05	9.69195e-05	9.67343e-05	9.67152e-05	9.68469e-05	9.62246e-05	9.58168e-05	9.64166e-05	9.59476e-05	9.55483e-05	9.50101e-05
380	-5873.234	-5873.977	0.742832	0.00364891	0.00366088	0.00358173	0.00357795	0.00357765	0.00357922	0.00358618	0.00358583	0.00369685	0.00371022	0.00370981	0.00370968	0.00370854	0.00370972	0.00369321	0.00369396	0.0036951	0.00369691	0.00318441	0.00317609
