Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]
230	-5901.442	-5870.902	-30.54039	0.0380352	0.0394878	0.0363452	0.0369735	0.0496152	0.0522848	0.0491664	0.065965	0.076444	0.0840049	0.0791805	0.0757144	0.0779997	0.0832819	0.0861983	0.0991776	0.194176	0.226419	0.179149	0.18712
240	-5870.27	-5871.045	0.7752298	0.0421356	0.0406783	0.0343571	0.0395216	0.04842	0.0483074	0.05145	0.0610275	0.0691821	0.0714674	0.0742855	0.0730931	0.081156	0.0752552	0.0755416	0.0874196	0.142058	0.163129	0.151691	0.145419
250	-5846.163	-5868.026	21.86275	0.0412487	0.0371527	0.0367886	0.0398026	0.0543221	0.050234	0.0518592	0.063943	0.0702524	0.0740284	0.0703635	0.0583165	0.0846525	0.0874711	0.0920034	0.0923303	0.117734	0.120599	0.201426	0.19904
260	-5902.337	-5865.182	-37.15544	0.0397518	0.0370985	0.0361651	0.0405111	0.054112	0.0563282	0.0469993	0.060914	0.0730662	0.0734233	0.0823485	0.0378584	0.0737704	0.0818654	0.119993	0.111503	0.107709	0.202823	0.372652	0.320189
270	-5904.484	-5866.94	-37.54381	0.0363409	0.0312779	0.0313124	0.035361	0.0495621	0.0642867	0.0582725	0.0613692	0.0792381	0.0753674	0.0771541	0.0385697	0.0836068	0.107043	0.117118	0.140483	0.142496	0.21748	0.203047	0.173024
280	-5887.511	-5867.684	-19.82665	0.0411754	0.0387738	0.0381287	0.0451363	0.0636231	0.0694115	0.0641243	0.0631021	0.0834027	0.0705858	0.0844817	0.0360643	0.0832771	0.121743	0.117336	0.144376	0.148851	0.218943	0.174236	0.115669
290	-5881.549	-5868.429	-13.11954	0.0418613	0.0385195	0.0378388	0.0410101	0.0507159	0.051589	0.0522402	0.0526358	0.0585367	0.0585995	0.0585475	0.0576489	0.0719611	0.106687	0.106736	0.110889	0.107202	0.189642	0.19005	0.143205
300	-5843.462	-5870.675	27.21369	0.0376608	0.0376121	0.0386517	0.0382251	0.0510748	0.0558424	0.0550913	0.0561902	0.0772622	0.0761242	0.0807692	0.0804085	0.0766999	0.104639	0.104661	0.117877	0.127235	0.133709	0.13631	0.139722
310	-5883.11	-5867.44	-15.67047	0.0382708	0.0315899	0.0379547	0.0381474	0.0445656	0.0493081	0.0545146	0.0619794	0.0732528	0.0725894	0.0635278	0.0640503	0.065504	0.111034	0.117295	0.145515	0.161552	0.186561	0.183218	0.194686
320	-5869.592	-5866.095	-3.497327	0.0400034	0.0334866	0.0397946	0.0404211	0.0519846	0.0539386	0.0542352	0.0633997	0.0770055	0.0737474	0.0667712	0.0621959	0.0620575	0.103922	0.114051	0.117628	0.131709	0.159523	0.114799	0.0871521
330	-5874.978	-5872.121	-2.856781	0.0374958	0.0327454	0.0367866	0.033877	0.0430337	0.0490269	0.0485879	0.050778	0.0821736	0.0641004	0.049646	0.0464151	0.0599676	0.104704	0.10421	0.100113	0.126735	0.163061	0.0969006	0.0737638
340	-5923.942	-5873.669	-50.27298	0.0476619	0.0447583	0.04553	0.0460563	0.0532525	0.0538614	0.0512944	0.052795	0.0997261	0.0937352	0.0619047	0.0545186	0.076616	0.0929986	0.0918478	0.09204	0.135863	0.143512	0.131036	0.118367
350	-5891.679	-5867.225	-24.45445	0.0490737	0.0368133	0.039553	0.0389026	0.0510291	0.0533549	0.0546038	0.0565514	0.0667138	0.0626111	0.054793	0.0452278	0.0759785	0.0934148	0.10129	0.0970924	0.138649	0.137967	0.130243	0.111157
360	-5875.723	-5869.839	-5.883784	0.0403755	0.0403089	0.0398703	0.045187	0.0476806	0.0596899	0.0564041	0.0563535	0.0734656	0.075912	0.0716808	0.0669145	0.0784253	0.0954959	0.0950635	0.093547	0.196515	0.194068	0.194732	0.0959514
370	-5845.898	-5871.517	25.61882	0.0430144	0.0411705	0.0390186	0.0395139	0.0463383	0.0635702	0.0617803	0.0591567	0.0631598	0.0630516	0.0659015	0.0648796	0.0901185	0.0970171	0.0994035	0.0977138	0.152642	0.150761	0.156803	0.0778259
380	-5873.234	-5873.977	0.742832	0.0457121	0.0424376	0.0320048	0.0319816	0.0613865	0.0745111	0.0606633	0.0669427	0.084109	0.0858022	0.0849692	0.0525929	0.0826214	0.0787252	0.0740646	0.133208	0.142545	0.133956	0.175548	0.0587879
390	-5875.032	-5867.644	-7.387656	0.0482564	0.0409634	0.0407651	0.0413759	0.0528918	0.0541893	0.0602314	0.0623583	0.0691084	0.0692583	0.0713815	0.050308	0.0664073	0.0743078	0.120433	0.12543	0.123772	0.11897	0.114319	0.116044
400	-5848.48	-5873.294	24.81401	0.0380335	0.0376312	0.041344	0.0396324	0.0557025	0.0556993	0.0571436	0.0570636	0.0699862	0.0700125	0.0713932	0.0715935	0.0726314	0.0931692	0.0915437	0.0899122	0.0894144	0.0991649	0.0905759	0.0922179
410	-5862.827	-5869.542	6.715253	0.0394256	0.0383447	0.0380731	0.0380598	0.053608	0.0553593	0.0539809	0.0549488	0.0620255	0.0619941	0.0583244	0.0583455	0.0562567	0.11131	0.111534	0.111527	0.112752	0.125926	0.12543	0.1291
420	-5850.02	-5872.667	22.64645	0.0453618	0.0376502	0.0351966	0.0470007	0.0552486	0.062172	0.0707538	0.069213	0.070572	0.0651776	0.0642836	0.0658981	0.0657749	0.148172	0.129684	0.127873	0.126235	0.133058	0.13301	0.131789
430	-5776.034	-5872.959	96.92471	0.0409205	0.0429172	0.0411982	0.0422809	0.0471913	0.0508721	0.0601783	0.0591867	0.0587812	0.0570665	0.057098	0.0570653	0.0569278	0.0999063	0.105872	0.111356	0.110476	0.114824	0.125741	0.10684
440	-5810.526	-5874.128	63.60272	0.0410595	0.0443825	0.0458627	0.0473476	0.0518554	0.0515162	0.0580296	0.0609631	0.0627376	0.0716295	0.0689087	0.0691068	0.0708866	0.0890145	0.0899066	0.127364	0.117926	0.109623	0.130213	0.0751171
450	-5831.377	-5871.449	40.07277	0.0356355	0.0354775	0.0359925	0.0499739	0.0532917	0.0516672	0.0629279	0.0630195	0.0661391	0.0656302	0.0660905	0.0643349	0.065475	0.128804	0.130047	0.134683	0.134614	0.349239	0.246108	0.234174
460	-5876.276	-5869.956	-6.320183	0.0402709	0.0361159	0.0444583	0.0436133	0.0462673	0.0467621	0.0580861	0.0659454	0.068565	0.0611773	0.0711205	0.0590656	0.0489653	0.100142	0.100137	0.10599	0.114095	0.129846	0.140686	0.140655
470	-5914.13	-5871.483	-42.64684	0.0429121	0.0412626	0.0401933	0.0472183	0.0464821	0.0463087	0.0630503	0.0626251	0.061686	0.0613453	0.0640878	0.0560906	0.0560205	0.12862	0.124055	0.121376	0.118844	0.125832	0.123502	0.128828
480	-5894.699	-5873.421	-21.27808	0.0397558	0.0391101	0.0391121	0.0420942	0.0437001	0.048382	0.0487425	0.0579417	0.0539033	0.0532708	0.0585676	0.060716	0.062907	0.0859947	0.125835	0.138915	0.133681	0.140463	0.140049	0.139225
