Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]
200	-6236.738	-6154.351	-82.38704	0.0067558	0.00533407	0.00597655	0.00593585	0.00576547	2.30449e-05	2.30466e-05	2.35567e-05	2.24439e-05	5.34152e-05	4.45323e-05	4.63729e-05	5.66125e-05	5.78281e-05	6.91025e-05	6.11543e-05	5.66178e-05	5.62725e-05	3.45844e-05	3.43628e-05
210	-6210.166	-6152.849	-57.31682	0.000153149	0.000157827	0.000156994	0.000324198	0.000255161	0.000400379	0.0005329	2.76783e-05	3.542e-05	3.41235e-05	3.51674e-05	5.09839e-05	3.96831e-05	3.60978e-05	4.15136e-05	3.34631e-05	3.37719e-05	3.48699e-05	3.48612e-05	4.8087e-05
220	-6150.297	-6153.4	3.103323	0.000126661	0.000127099	0.000126012	0.000125858	0.00012536	0.000127185	0.000130975	0.000128577	0.000128693	0.000129475	0.000132071	0.000137041	0.000136991	0.000137623	0.000138288	0.000133102	0.000129256	0.000132222	0.000131731	0.000128105
230	-6151.44	-6154.493	3.052695	0.00464303	0.00467355	0.00463925	0.00463385	0.00446255	0.00439897	0.00434318	0.00433338	0.00436018	0.00435847	0.00437594	0.00433107	0.00492544	0.00492394	0.00452572	0.0045326	0.00452207	0.00437867	0.00440784	0.00440804
240	-6174.204	-6157.388	-16.81637	7.10877e-05	6.96314e-05	6.38095e-05	8.69939e-05	8.48991e-05	8.99465e-05	8.97008e-05	8.41554e-05	8.62029e-05	8.57591e-05	8.58689e-05	8.57656e-05	8.33869e-05	8.40808e-05	8.44062e-05	8.2613e-05	7.98116e-05	7.96146e-05	7.55432e-05	7.52776e-05
250	-6143.405	-6155.186	11.78068	0.000562456	0.000563148	0.000561927	0.000563227	0.000564098	0.000563771	0.000575573	0.000572186	0.000571778	0.000571594	0.000570692	0.000585322	0.000589623	0.000609457	0.000604929	0.000604938	0.000605163	0.000570723	0.00056865	0.00057039
260	-6142.981	-6153.792	10.81108	0.000506371	0.000533805	0.000533559	0.000533689	0.000444149	0.000477417	0.000506033	0.000532521	0.000509459	0.000507915	0.000507989	0.000510162	0.000493088	0.000472232	0.000478578	0.000480697	0.000452419	0.000451245	0.000464904	0.000439499
270	-6147.901	-6153.799	5.898079	5.74205e-05	5.80545e-05	5.80204e-05	3.39404e-05	3.52594e-05	3.57196e-05	3.65246e-05	3.52931e-05	3.52845e-05	4.05421e-05	4.05422e-05	5.01361e-05	4.47038e-05	4.52642e-05	4.1131e-05	4.3151e-05	4.31007e-05	4.43273e-05	4.33519e-05	4.38135e-05
280	-6238.339	-6152.247	-86.09222	0.00282573	0.00355504	0.00342492	0.00366599	0.00196474	0.000829827	0.00102643	0.000692891	0.000696032	0.000455246	0.000535112	8.15821e-05	7.68323e-05	6.56633e-06	2.00656e-06	3.76366e-06	6.5714e-06	7.37893e-06	7.55945e-06	7.2127e-06
290	-6168.993	-6150.966	-18.0272	0.00115064	0.00113884	0.00114921	0.00118318	0.00129796	0.00131613	0.00131731	0.00135237	0.00135983	0.00135771	0.00134763	0.00132364	0.0013045	0.00118487	0.00119235	0.00086675	0.000905822	0.000881147	0.000903646	0.000902398
300	-6128.327	-6151.288	22.96152	7.64847e-05	7.71829e-05	7.75567e-05	7.75099e-05	7.76386e-05	7.74904e-05	7.74491e-05	7.71959e-05	8.14848e-05	8.94831e-05	9.07955e-05	9.07594e-05	9.16467e-05	9.07785e-05	9.15102e-05	9.17314e-05	9.17251e-05	9.19684e-05	9.19501e-05	8.50371e-05
310	-6153.593	-6156.605	3.012276	0.000947986	0.000963384	0.000954135	0.000952414	0.000947887	0.000957999	0.000954478	0.000953202	0.000956684	0.000958807	0.000953743	0.000976988	0.00097755	0.000985125	0.000985332	0.000982993	0.00097979	0.000998999	0.000988926	0.000923593
320	-6163.801	-6152.77	-11.03101	0.00751462	0.00753117	0.00752623	0.00754138	0.00745301	0.00703267	0.00707457	0.0071229	0.00721236	0.00722879	0.00378215	0.00374848	0.00375293	0.00383896	0.00384377	0.00373267	0.00374525	0.00374123	0.0037019	0.00371771
330	-6151.771	-6154.071	2.299798	0.000448268	0.00044812	5.20325e-05	5.18286e-05	5.18357e-05	5.22159e-05	5.24052e-05	5.19055e-05	5.29835e-05	5.20338e-05	5.17818e-05	5.18869e-05	5.17498e-05	5.05774e-05	5.04066e-05	5.04679e-05	5.07887e-05	5.09376e-05	5.01506e-05	4.9971e-05
340	-6148.645	-6149.312	0.6664091	0.000187529	0.000191669	0.000191588	0.000191395	0.000190823	0.000194157	0.00019349	0.000193729	0.000187444	0.000178959	0.000177843	0.000181377	0.00013515	0.000135066	0.000136023	0.000135994	0.00013464	0.00013428	0.000135519	0.00013269
350	-6133.419	-6152.63	19.21121	0.00506329	0.0048898	0.00489071	0.00485005	0.00487826	0.0048976	0.0049421	0.00497387	0.00497816	0.00500132	0.00498886	0.00501962	0.00501308	0.00504525	0.00507906	0.00505505	0.00521528	0.00514179	0.00515637	0.00514491
360	-6146.536	-6151.079	4.543052	8.80204e-05	8.75474e-05	8.76607e-05	8.69852e-05	8.69407e-05	8.62603e-05	8.45393e-05	8.77149e-05	8.77192e-05	8.36709e-05	8.36657e-05	8.31514e-05	6.7689e-05	6.72533e-05	6.75203e-05	6.7809e-05	7.27875e-05	8.35786e-05	6.21057e-05	6.17927e-05
370	-6143.872	-6149.518	5.646426	0.000297345	0.000293955	0.000295442	0.000293874	0.000300356	0.000308381	0.000313159	0.000312391	0.000314621	0.000322036	0.000355233	0.000341955	0.000339962	0.000339866	0.000337072	0.000341219	0.000379921	0.000382305	0.000382817	0.00038135
380	-6141.208	-6153.943	12.73547	0.000794661	0.000788725	0.000789108	0.000790361	0.00077325	0.000772808	0.000770183	0.000765539	0.000765468	0.000765139	0.000764442	0.000766575	0.000777856	0.000769666	0.000770954	0.00077075	0.000801242	0.000799049	0.000838514	0.000837599
390	-6134.284	-6148.296	14.01209	0.00016963	0.000168907	0.000168632	0.000168627	0.000166492	0.000166479	0.000166501	0.000164212	0.000164728	0.00016505	0.000164492	0.000164422	0.000164035	0.000163872	0.000163858	0.000163497	0.000164102	0.000168176	0.000171603	0.000171608
400	-6130.644	-6148.956	18.31172	8.52655e-05	8.52604e-05	8.50267e-05	8.5123e-05	8.51442e-05	8.51002e-05	8.3332e-05	8.33581e-05	8.34487e-05	8.34994e-05	8.3487e-05	8.38417e-05	8.37769e-05	8.37412e-05	8.23562e-05	8.22025e-05	8.16262e-05	8.19143e-05	8.18672e-05	8.18828e-05
410	-6150.089	-6150.152	0.06241757	0.000200999	0.00020165	0.00020168	0.000201132	0.000201642	0.000201698	0.000198751	0.000198772	0.000198002	0.000195064	0.00019511	0.000195438	0.000194748	0.000194464	0.000196832	0.000195975	0.000203567	0.00020399	0.000209956	0.000213711
420	-6185.211	-6154.907	-30.30461	7.46979e-05	6.4254e-05	6.73317e-05	4.73868e-05	4.77022e-05	4.70134e-05	4.79397e-05	4.62513e-05	4.60317e-05	4.5922e-05	4.52429e-05	4.58809e-05	4.54493e-05	4.51134e-05	4.51675e-05	4.4361e-05	2.52466e-05	2.41745e-05	2.42759e-05	2.40047e-05
430	-6160.574	-6151.808	-8.765981	0.000466333	0.000467512	0.000468497	0.000478093	0.000484587	0.000523998	0.000526498	0.000525794	0.000526079	0.000518188	0.000518978	0.000513941	0.00051378	0.000502167	0.000496112	0.000442641	0.000420168	0.000423427	0.000423505	0.000425454
440	-6205.886	-6147.592	-58.29423	0.000139858	0.000139176	0.000153283	0.000153822	0.000157513	0.000157813	0.000156872	0.000153187	0.000155384	0.000161523	0.000160234	0.000166256	0.000160627	0.000159839	9.67273e-05	9.63926e-05	9.63688e-05	0.000341469	0.000332868	0.000207844
450	-6155.907	-6145.475	-10.43255	0.000824305	0.000824953	0.000823866	0.000637671	0.000640868	0.000645683	0.000653128	0.000666401	0.000669579	0.000668629	0.000660496	0.000644581	0.000722749	0.000725945	0.00102968	0.000879158	0.00088133	0.000880728	0.00111602	0.00111621
