Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]	interval_times[11]	interval_times[12]	interval_times[13]	interval_times[14]	interval_times[15]	interval_times[16]	interval_times[17]	interval_times[18]	interval_times[19]
270	-6147.901	-6153.799	5.898079	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
280	-6238.339	-6152.247	-86.09222	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
290	-6168.993	-6150.966	-18.0272	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
300	-6128.327	-6151.288	22.96152	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
310	-6153.593	-6156.605	3.012276	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
320	-6163.801	-6152.77	-11.03101	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
330	-6151.771	-6154.071	2.299798	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
340	-6148.645	-6149.312	0.6664091	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
350	-6133.419	-6152.63	19.21121	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
360	-6146.536	-6151.079	4.543052	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
370	-6143.872	-6149.518	5.646426	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
380	-6141.208	-6153.943	12.73547	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
390	-6134.284	-6148.296	14.01209	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
400	-6130.644	-6148.956	18.31172	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
410	-6150.089	-6150.152	0.06241757	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
420	-6185.211	-6154.907	-30.30461	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
430	-6160.574	-6151.808	-8.765981	5.28636	10.5727	15.8591	21.1454	26.4318	31.7182	37.0045	42.2909	47.5772	52.8636	58.15	63.4363	68.7227	74.009	79.2954	84.5818	89.8681	95.1545	100.441
