Iteration	Posterior	Likelihood	Prior	biome_rates[1]	biome_rates[2]	biome_rates[3]	biome_rates[4]	br_base	br_CW	br_TW	br_WC	br_WT	dr_base	rate_biome	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	rf_simplex[19]	rf_simplex[20]	rf_simplex[21]	rf_simplex[22]	rf_simplex[23]	rf_simplex[24]	rf_simplex[25]	rf_simplex[26]	rf_simplex[27]	w_adj[1]	w_adj[2]	w_adj[3]	w_B	w_G	w_graph[1]	w_graph[2]	w_graph[3]	w_not_B	w_U	y
500	-786.0328	-788.7531	2.72032	0.10621	0.966168	0.620846	0.659039	0.8061982	0.6590395	0.10621	0.6208458	0.966168	0.1938018	0.02634146	0.0283502	0.42188	0.203621	0.114155	0.0297385	0.0376592	0.0400196	0.032287	0.0306741	0.00308491	0.0208334	0.0140218	0.00874732	0.00239912	0.00167976	0.00476531	0.000829343	0.00153437	0.000151145	0.0018105	0.000669242	0.000410891	0.000129225	0.000120519	0.000218063	9.5593e-05	0.000114715	0	0.397628	1	0.8942426	0.03520989	0.0705475	0.0352099	0.894243	0.1057574	0.07054747	0.3976276
550	-786.1747	-788.6647	2.489941	0.164522	0.981299	0.431769	0.584543	0.8189237	0.5845425	0.1645215	0.4317689	0.981299	0.1810763	0.03316593	0.0181931	0.408342	0.192466	0.130875	0.0206036	0.0353117	0.0387643	0.0233938	0.0210905	0.00296099	0.0487953	0.0235843	0.0159248	0.0027755	0.00313189	0.00764684	0.000926405	0.00226977	6.94763e-05	0.00165787	0.00049163	0.000323112	6.64219e-05	7.74827e-05	0.000144213	5.06547e-05	6.36106e-05	0	0.695199	1	0.9387742	0.01335169	0.0478741	0.0133517	0.938774	0.0612258	0.04787411	0.6951988
600	-788.2576	-790.7355	2.477974	0.139102	0.572794	0.46944	0.520598	0.8229464	0.5205977	0.1391024	0.4694401	0.5727936	0.1770536	0.03356521	0.0225451	0.442086	0.191783	0.103142	0.0237318	0.0308457	0.0329156	0.0265838	0.0249898	0.00403011	0.0394384	0.0226809	0.013698	0.00340183	0.002422	0.00738487	0.00131829	0.00222222	0.000159356	0.00250886	0.000848137	0.000503262	0.000143668	0.000130439	0.000258795	0.000103521	0.000124361	0	0.381926	1	0.8949016	0.04150979	0.0635886	0.0415098	0.894902	0.1050984	0.06358865	0.3819256
650	-782.4373	-784.9251	2.487778	0.153949	0.981276	0.209167	0.451917	0.7843852	0.451917	0.1539486	0.2091674	0.9812763	0.2156148	0.03323777	0.0143041	0.4392	0.227294	0.124034	0.0161076	0.0283972	0.030545	0.0188826	0.0168121	0.00230672	0.0330562	0.0225162	0.0137733	0.00187395	0.00161958	0.00680449	0.000533703	0.00122077	1.56219e-05	0.000384531	0.000146953	8.49042e-05	1.37025e-05	1.36753e-05	3.83146e-05	8.69742e-06	1.16517e-05	0	0.447536	1	0.9611842	0.008003547	0.0308123	0.00800355	0.961184	0.03881585	0.0308123	0.4475364
700	-789.527	-792.376	2.848952	0.447767	0.890752	0.52104	0.0531114	0.6721538	0.05311139	0.4477673	0.5210403	0.8907516	0.3278462	0.02316199	0.0213618	0.30494	0.192587	0.10451	0.0250977	0.037887	0.0401117	0.0322891	0.0286399	0.0104708	0.0591175	0.0537848	0.0361641	0.00864303	0.0062344	0.0245675	0.00291702	0.00556834	0.000221826	0.00193764	0.00117173	0.00071089	0.000198636	0.000160716	0.000443629	0.00011243	0.000150955	0	0.347856	1	0.9558802	0.001001199	0.0431186	0.0010012	0.95588	0.04411976	0.04311857	0.3478558
750	-784.5535	-786.933	2.379509	0.0956319	0.749656	0.146953	0.428385	0.8456589	0.4283849	0.0956319	0.146953	0.7496557	0.1543411	0.03703841	0.0246609	0.51336	0.197393	0.0771514	0.0255552	0.0286825	0.0292897	0.0272346	0.0266984	0.00287732	0.0179351	0.0134945	0.00637756	0.00210932	0.00103802	0.00370518	0.000653509	0.00101804	3.30891e-05	0.000381122	0.000155495	7.20985e-05	2.71719e-05	1.96549e-05	4.14795e-05	1.61977e-05	1.94371e-05	0	0.218216	1	0.9011112	0.02346363	0.0754251	0.0234636	0.901111	0.09888876	0.07542514	0.218216
800	-784.6795	-787.2251	2.54563	0.126433	0.84073	0.538719	0.798766	0.8426495	0.7987658	0.126433	0.5387192	0.84073	0.1573505	0.03136946	0.0203358	0.463142	0.187553	0.113358	0.0216211	0.0305699	0.0322349	0.023821	0.0223406	0.00286404	0.0371164	0.0180307	0.0113255	0.00240089	0.00202958	0.00531296	0.000826666	0.00173073	9.28835e-05	0.00195494	0.000539037	0.00033303	8.29872e-05	8.67349e-05	0.000151569	6.66142e-05	7.91178e-05	0	0.522623	1	0.9182582	0.02061067	0.0611311	0.0206107	0.918258	0.08174181	0.06113114	0.5226231
850	-785.0929	-787.7955	2.702619	0.174354	0.819417	0.256914	0.449212	0.7671494	0.4492116	0.1743539	0.2569142	0.819417	0.2328506	0.02681188	0.0261448	0.353775	0.199081	0.125787	0.0288195	0.0425088	0.0446251	0.0328149	0.0300053	0.0049843	0.0417192	0.0261752	0.0178886	0.00438421	0.00394773	0.0104814	0.00159289	0.00330481	7.19384e-05	0.000929062	0.00035562	0.000233196	6.6582e-05	6.74458e-05	0.000128397	4.74286e-05	6.07416e-05	0	0.542691	1	0.9344527	0.007476517	0.0580708	0.00747652	0.934453	0.06554728	0.05807076	0.5426915
900	-785.339	-787.9556	2.616572	0.245712	0.993451	0.23435	0.368563	0.796816	0.3685629	0.2457117	0.23435	0.9934506	0.203184	0.02922114	0.0173499	0.380469	0.189911	0.124693	0.0199768	0.0340921	0.0390517	0.0239158	0.0208088	0.00431093	0.062131	0.0335355	0.0227159	0.00393471	0.00417631	0.0115949	0.00137745	0.00309959	7.18755e-05	0.00153575	0.000507122	0.000333681	6.78094e-05	7.432e-05	0.000154782	4.78315e-05	6.24534e-05	0	0.624158	1	0.9280555	0.02801432	0.0439302	0.0280143	0.928055	0.07194454	0.04393022	0.6241584
950	-784.4527	-786.3864	1.933635	0.0828643	0.52875	0.234432	0.380902	0.8773416	0.3809017	0.08286433	0.2344321	0.5287498	0.1226584	0.05784864	0.010483	0.595412	0.186608	0.0845653	0.0108893	0.0150502	0.0163589	0.0119209	0.0113081	0.00118342	0.0294207	0.0136546	0.00684482	0.000970097	0.000637042	0.00275837	0.000312341	0.000564363	1.71543e-05	0.000685329	0.000183413	8.99629e-05	1.5166e-05	1.26323e-05	3.38619e-05	9.29026e-06	1.18537e-05	0	0.34772	1	0.9291085	0.03392532	0.0369662	0.0339253	0.929109	0.07089148	0.03696616	0.34772
